NEGR1
MTUS2
PPP1R12C
M1AP
CARM1
STK32C
PHPT1
PCDH7
AC006547.8
LINC00265
STXBP3
CTD-2369P2.8
VARS
BMP5
WDR47
PMPCB
RP11-1094M14.11
FAM109B
GRPEL1
C17orf70
LL21NC02-1C16.2
SNX1
ZNF460
MOSPD2
RP11-473O4.3
TRIT1
RP11-466A19.6
USE1
LUM
AC096772.6
U73169.1
XXyac-YRM2039.2
RP11-875O11.1
CCDC12
INIP
ZNF823
RP11-523O18.7
FBLIM1
AC073316.1
APOO
KIFC2
C11orf63
RP11-133O22.6
RP11-703M24.5
CNFN
CLSTN2
ZNF629
CLK1
RP11-330A16.1
HSPB7
LIFR
ULK4P1
COMTD1
ANKRD24
TACSTD2
ANGPTL6
GPT2
STARD10
RP11-400F19.6
RCBTB1
LDOC1L
PHF8
RP1-65P5.1
TUBGCP6
TMEM9B
TMEM191A
C10orf105
ARHGAP28
ARFGAP2
PDGFRA
NALCN
FAM166A
TMEM18
FAM89B
ALOX15
ZBTB22
FAM131A
NDUFC2
COL5A2
FFAR4
RP11-705C15.3
GPR31
RP11-395P17.11
AOC3
PDGFRB
RP11-446H18.5
DHODH
CKS1B
RP11-192P3.4
LINC00882
GRAMD2
SRP19
TEN1
RRS1
HLA-DPB2
TRIP6
AC007377.1
RP11-231C14.6
SCGB3A1
SNAPC4
AC129929.5
ZNF433
PIGZ
FAM162A
RP11-211G3.3
EDNRA
AC074363.1
TMEM256
SETD6
TBX5
CTF1
RP11-39K24.4
SYMPK
COL11A1
HECW2
TMEM132C
LAMB1
C20orf201
WNT2
RP11-282O18.3
RP11-380G5.3
RP11-863P13.5
SEMA5A
CTD-2073O6.1
NUDT8
HIST2H2BB
ZBTB48
RP11-666A8.1
DNAJC14
RP11-220C2.1
RP11-434D9.1
TTC6
AC091492.2
FAM175B
YAP1
TENC1
ADAMTSL1
RNU11
C1orf123
C18orf32
TGDS
FZD1
RP11-798K3.3
CLEC14A
RP11-439L18.2
ROS1
SNAI2
IL22RA2
HSD11B2
CFTR
CFI
LTV1
RHOJ
PTGER1
FAM131B
RP11-498C9.3
ZFYVE20
RP11-403A21.3
AL161450.1
C8orf4
HIST1H3J
RNU6-36P
C8orf47
GPX8
RP11-1220K2.2
RP11-523O18.5
AP001597.1
RP5-1115A15.1
RP11-1021N1.1
HAS2
TET2-AS1
RP5-1052M9.1
ZFC3H1
UBE2A
ESRRA
CNGB3
DYRK1B
CEP170P1
PSMD10
CBR3
RP11-473O4.5
RP11-2E17.1
COL16A1
MYH15
OMD
NEGR1-IT1
ZC3HAV1L
CMTR2
ITPRIPL1
NLRP4
CHRNA6
FAM221A
HOXB5
LDOC1
ELF5
ZMAT4
CFL1P1
CTA-384D8.34
WASH7P
RP11-219B4.7
RP11-290F24.6
TMEM208
RP11-380D23.2
CDC42EP1
TMEM132D
FAM53A
ADAMTS9-AS2
LINC00893
BLZF2P
NAALADL1
RPL13P5
CTD-2350C19.1
LINC00957
SLC46A2
FAM13C
LRRC17
LYPD6B
ADAMTS9-AS1
RP11-650J17.1
OLFML2A
RP11-496H15.2
Y_RNA
OTUD6B
RP4-534N18.2
NPHP1
RP11-170M17.1
FBXL22
KLHL35
RP11-108L7.15
CLDN6
GS1-115G20.1
LRRC42
RP11-645C24.2
AC015815.6
RP11-44F21.3
ZNF256
RP11-572C15.6
CYB5D1
LL22NC03-86G7.1
RP11-338C15.3
SUMO4
TMEM59L
SOX15
AL136376.1
ZNF239
B3GNT3
RP11-58B17.2
RP11-77P6.2
SLC16A2
PGR
MIER2
PA2G4P4
RP1-214M20.2
HSPB8
ZNF205
ESRP2
SYNPO2L
RP1-37C10.3
PDZRN3
THNSL2
NKX2-1
AC015922.5
AC010646.3
RP11-690G19.3
RP5-837I24.2
TRIM67
SCUBE2
KLF5
Z83844.1
SCG2
GPC4
ZNF300P1
RNA5-8SP3
TMX2-CTNND1
HYKK
HMGN2P5
SNORD89
C3orf83
AC010761.8
SULF1
RP3-406A7.3
TNNC2
AC010082.2
ADAMTSL3
INPP5E
FRMPD3
CTD-2515A14.1
C1orf51
