UBE2H
FAT4
RAB31
MLH3
OTUD5
NPHP3
RP11-96B2.1
CD200
OGFRL1
EMCN
LRRC8C
MINK1
RGL2
STARD13
ACADVL
DAG1
ERN1
DLGAP4
ZNF846
ABRACL
MIDN
RNASEK
SMAD2
FTH1
AARSD1
NEK6
TMOD3
PLEKHA8P1
YWHAB
NHLRC2
RP11-96H19.1
LATS2
CCDC176
SPCS3
SLC35F5
PCYOX1L
RNF170
CASP4
SLC35B4
CDK2AP1
PACS2
KLHDC3
CAPZA1
FREM2
EMC10
YWHAE
ST3GAL5
FIP1L1
MAN2A1
PLEKHA8
JAK2
FLOT1
ANKMY1
TMEM109
MAPK6
SLC25A15
SLC33A1
LTB
SLC25A3
ARHGAP5
CMTM3
PLCL1
OSBPL6
GPAA1
RP11-13K12.1
LMAN2
PPP1R15A
GADD45A
SH2B3
IFNGR1
TMEM150C
PSMA7
BACE1
PYGL
PARK7
BCL6
PPDPF
ENTPD6
HHEX
MNT
PIM2
EPB41L1
ATP5I
CSF1
RYBP
SQLE
CRBN
KIFC2
DUSP6
MYO5C
STK17A
UTY
TMEM170B
COX8A
FLII
AGPAT2
CDKN1C
SPNS1
KLF6
SEL1L3
MTMR12
HSPE1
GABARAPL2
LINC00886
ISCA1
MFSD11
FAM78A
MIEF1
CTR9
KIF3C
NCOA7
MAPK8IP3
AC108004.3
ZSCAN30
TRIM56
RPS6KA2
MYL7
GIPC3
ATP5B
CHSY1
STARD3NL
SEC61A1
C3orf58
SLC26A2
COL1A2
RP11-768F21.1
TXN
AC069368.3
RAB6A
SURF4
DDX5
ID2
ARL8A
RP11-297N6.4
TMEM158
PLEKHG3
PGRMC1
KDELR2
BCORL1
M6PR
FURIN
SEL1L
RP11-434C1.1
CALM2
FILIP1L
G6PC3
DHCR7
RP11-525K10.3
NUTF2
WDR11-AS1
ATP1A1
RAB4A
ARPC3
SCML4
DNAJB2
EIF1
BAMBI
EDEM1
RP11-624J12.1
VCAN
PRDX4
ATN1
VPS8
GPR183
NOG
OSBPL7
PSME3
SLC50A1
FOXH1
ATRAID
TMBIM6
YPEL5
COL3A1
RNF34
DENND2D
CUL2
RPL36AL
TIMM17B
SSR3
PQLC1
LEPROT
CTDSP1
SERP1
PRKAA1
GTF3C5
SLX4
LGALS1
EML3
RINL
CHCHD2
UBXN6
ACTC1
PCBP1
ADCYAP1
TP53I13
ARFGAP3
JUNB
CPNE2
SNRPN
MIR22HG
LSS
RP3-370M22.8
LINC00856
RHOB
BAX
FYTTD1
MESDC2
HIST2H2BE
LPCAT1
IER2
RXFP1
AMN1
VEGFA
NABP1
AC002117.1
TMEM41B
LINC00173
RP11-701H24.10
RBBP6
AC004840.9
CTC-340A15.2
EHD2
ELANE
SYDE2
HORMAD1
SETD1B
FERMT2
NENF
SACM1L
PIPOX
DFNA5
GPT
NDUFA4
AHCYL1
CCS
FAM177A1
SNAP29
SLC39A4
VKORC1
LGALS3BP
YTHDC1
STXBP1
MFSD12
MUS81
AC005009.2
PPP1R9B
KLHL36
PHF23
HERPUD2
FBN2
HERC5
FHL3
LEPRE1
JAGN1
AKR1B1
CCDC71L
EIF4G1
CD93
STARD8
ATXN7L3
CADM2
POLI
UBE2Q1
GHDC
ASMTL
MCFD2
HMG20B
SLC25A11
CTC-425F1.4
SFT2D1
MAP1B
CRELD1
WDR83OS
WBP5
ASRGL1
ANO8
LIMCH1
RILPL1
SLC45A4
UBA1
COQ2
TMEM66
CTTNBP2NL
ZNF786
PPM1A
PTPRS
NCKAP5L
ACER2
SERF2
VPS25
RAB14
SH3RF3
PINLYP
CAMKK1
CTC-503J8.6
PRAF2
FAM217B
ZNF48
PLOD1
DPCD
NDN
TMEM30A
PATL2
HYOU1
TMEM214
RBFOX1
GRINA
NAA10
SLC22A18
BST2
CRTAP
LEPREL4
USF2
EYS
GBP5
EXOSC4
RP5-1198O20.4
RP11-317G6.1
RP11-229C3.2
PTDSS2
GAMT
NRP1
TGFBR3
RP11-223C24.1
ISCU
TICAM1
RP11-465I4.2
RABL3
SPIN3
ADCK4
SPCS1
SETP11
ROBO4
TNFSF8
EIF4E
RP11-64D24.2
RWDD2B
TMEM18
CACNB1
FRAT2
ORAI3
RPUSD3
LNX1
TMED4
NFKB2
STRAP
BANF1
KIAA2018
MAFK
KIAA1279
POLR2L
IER5
DUSP23
RP11-861A13.4
UBE2M
SLC52A2
BAG5
VAMP2
AC018890.6
C9orf69
OSTM1
TOE1
P4HTM
AP1M1
NBPF14
DEGS1
ARID3B
MAGI2-AS3
LZTR1
MMP24-AS1
ATP9A
IRAK4
SPHK1
LINC00883
ADRM1
ERLEC1
CEBPB
IMPAD1
MC2R
EDNRB
BEX4
ENTHD1
HOPX
TBC1D20
PIWIL4
CEP68
CHMP6
HNRNPKP3
DYNLL1
SNCG
GATA3
UCKL1
RAB35
AP3D1
APOA1BP
TM7SF2
HSPB6
WBP1L
NDUFB5
PER3
PINK1
CLPP
ECH1
DNAJB11
SEPHS2
MTATP6P1
PTGS2
TRH
SEC61G
ELMO2
SLC2A11
NMRK1
ZNF160
SLC30A1
GABARAP
MRPL51
CAMTA2
ZNHIT3
CCRL2
PSMD2
FAM92A1
RELL2
PABPN1
LGALS8
RNF8
GALE
AP2S1
MAP1LC3B
GSTM3
EIF2S2P3
PCYT2
PLEKHA6
NMNAT1
GJA1
HIF1A-AS2
AKIRIN2
SRSF3
GLTP
SUMO3
ZBTB37
DAZAP2
PIGS
AJ006998.2
BCL2L2-PABPN1
RP11-495P10.2
MRPL18
PSMA2
C20orf24
BCAS4
PTP4A1
FDXR
C5orf51
RP11-76N22.2
KIRREL
NAV3
BCL11B
ATP6V1F
NR2F6
SLC26A8
PRRT3-AS1
ACSS2
SEMA6C
VAMP3
VDAC2
ARRDC3
RP5-1085F17.3
TNFAIP2
MOCS2
ITK
TBC1D13
TREML2
SNX12
RP3-395M20.8
GNB2
TSHZ2
CDH9
C1orf85
RP13-578N3.3
GSTA1
RPS19BP1
MYH7
NDUFA6
MYLK3
POSTN
ARPC4-TTLL3
STX4
PEA15
FAM134B
KIF7
CCDC106
LEPREL1
DHRS7
FAM86C2P
ATP5E
CYCS
RP11-15B24.5
MAN1C1
ZBTB34
NRSN2
SOGA2
FAM188B
UBL5
TNXB
CST7
RGS5
HNRNPK
RP11-97C16.1
COPG1
TRIB1
EMC2
USP20
PTCH1
COPS6
MTMR14
HERPUD1
UTP14C
APCDD1
TRBC2
CCDC115
COX7A2
DERL2
RP11-371F15.3
NDUFB10
TMEM230
SH2D2A
AC011558.5
CTB-41I6.2
UNC119
PTGER4
LPIN3
NRK
TOR2A
CYB5R1
C5orf15
AC108676.1
HSD17B10
BHLHE40
TMEM208
SCARF1
COL6A1
CHRM2
RP11-691H4.4
CTD-2540L5.5
RGS9
C6orf136
MEIS3P2
PDZK1IP1
ADAM12
PREB
MFSD2A
FUNDC1
HLA-DMB
ANK2
RNF141
HERC6
AQP7P1
COX6A1
PTPRVP
CDH26
PDCL2
SDF2L1
DPYSL2
LLGL2
NR5A1
TMEM200A
TNNC1
SKIL
ZBTB9
CAV1
COA3
PSMD8
ZBTB7B
RP1-122P22.2
MEX3B
MAFB
FLYWCH2
SECISBP2L
PBX2
WWC1
EIF1B
AVIL
KLHDC8B
NAP1L3
MGARP
TLDC2
FKBP10
UPP2
PRKACA
TCEAL3
TRPT1
RP11-490K7.4
C2orf68
SNN
MEOX2
NQO2
ZNF770
IL17RC
BROX
IL20RB
RAB4B
TMEM179B
RP11-384F7.1
APOL3
RAB11B
RP11-452L6.5
ARHGAP36
PLAG1
TRAFD1
AKAP17A
FBXL15
SLC29A3
PDP2
TOB1
UFC1
SUOX
SPATA16
VEZF1
ZCRB1
AC010987.5
NR1D2
ZBTB8A
RCOR2
ARID5A
HRASLS2
NR2F2
LYRM9
NR2F2-AS1
RP11-22P6.2
RP4-769N13.6
EPAS1
MEX3D
SPIN2B
AC006129.2
NBPF3
RP11-53B2.2
MIF4GD
ZBTB49
RP11-141M3.5
EVI2A
SRSF8
RTN1
F8
FXYD6
PPIC
snoU13
FAM8A1
UFL1-AS1
RP11-463D19.1
IL18
ACOT13
MRPS18A
ENO2
RP11-87F15.2
RN7SL505P
RP11-161M6.2
CBR1
DMPK
XKR4
PLXNA3
BLOC1S6
MRPS14
ABHD17A
ARMC5
PPP4C
EMC7
KBTBD11
ANKRD42
C1orf174
FAM98C
C20orf197
TNNT2
TSTD1
HECTD3
THEMIS
ADPRH
RP11-1277A3.1
ADCK5
TRIQK
C6orf10
KIAA1143
RP11-104N10.1
PRSS8
BLZF2P
MYL2
RP11-50E11.3
LINC00882
PYY2
TMEM170A
EHD4
MYOF
VTI1B
APOBEC3G
CPM
CYP2T2P
SAT2
MIB2
FAM211B
XXbac-B135H6.15
MYO1E
HIST1H2BG
RP13-131K19.6
RP11-968A15.8
UQCR11
RP11-258C19.7
HOTAIRM1
LAMA2
CLDN12
AC104534.3
ADAMTS9
SEC61B
ZNF470
AATK
RP11-115D19.1
AC005394.1
PTGES3L
SPHAR
PPM1N
SF3B14
RP11-557H15.4
CTC-498J12.3
HLA-DQB1
ZNF663P
ARMC7
FGR
CTA-14H9.5
CRIP2
AC093159.1
INSL3
LINC00674
MMP2
CCDC97
MT2A
SFTPC
FAM199X
SUPT4H1
MBD6
ZNF385C
RP11-1055B8.6
SEPT4
SLC4A4
RP11-363E7.4
DCN
TIMM8B
SMCO4
MORC4
SMARCD3
MRPL54
MT3
PCIF1
SOS1-IT1
ZNF25
CTC-301O7.4
RN7SL574P
TOR1A
RPL21P11
MYBPC3
CHMP1A
AMDHD2
ATP6V1C2
PGM5
MAFF
DRP2
ZAP70
AC106753.1
ISG15
LA16c-380H5.5
RP3-467L1.4
RP11-498C9.2
AC002066.1
POLR2K
HSBP1L1
NOMO1
LAMTOR3
CD2BP2
CTB-113D17.1
RP5-1132H15.3
BLOC1S5
EIF2B2
RP11-305L7.3
COMMD5
RNF181
TMEM150A
SARM1
DHRS12
PSMB6
RP11-400F19.6
TCTA
CHPF
AKR7A2
FXR2
EGFL6
hsa-mir-1199
RP11-867G2.8
LINC00467
TESK1
DNAJC12
CXCL12
NRAS
BGN
SYAP1
ZBED6
KIAA0895L
GRB14
PMS2P4
TRIM52-AS1
NINJ1
AC144652.1
COL25A1
CTD-2105E13.14
LEPREL2
SH2B2
AP000695.4
RUSC1-AS1
CTD-2215E18.1
ZNF616
MTMR6
RP11-963H4.3
LDB3
ARMCX1
SATB2
SLITRK4
ITPKA
GATA6
MXRA8
RHBDF1
RP11-420G6.4
HEATR4
LYRM2
MYRIP
DNASE1L1
TRPM3
GABRR2
BAK1P1
RP11-840I19.3
CDH6
PSD
GAREM
NRBP2
GPR171
PRR24
OCIAD1-AS1
JKAMP
CEP104
MAP3K12
CTD-2277K2.1
SLC12A5
EDA2R
AC020571.3
RGS2
RND3
C1orf122
COX14
IRF2BP1
SIK1
RP11-427H3.3
MSRB1
MRPS22
RP11-473I1.10
ANKRD1
RP11-396B14.2
CTC-484P3.1
SNED1
LINC00620
RET
RP11-5N11.2
NDUFS2
RP4-777O23.2
A2M
NAPG
FMR1-IT1
SOX9
GRPEL2
SERTAD1
RP11-93I21.3
ING2
AB019441.29
TCF7L1
BCL2L10
TSPYL1
RP11-639F1.2
CDS1
AC093391.2
SLC25A34
C15orf38-AP3S2
OVCH1-AS1
RP3-395M20.12
PRSS45
COX7A1
NTRK2
GSK3A
ADAM23
AL512652.1
AVP
TAF9B
SMG8
PSMD6
FAM155A
ALG10
ZBTB26
SMPD1
RP11-1079K10.3
AF131215.9
TMPRSS13
RP11-399E6.1
ARHGEF19
LAMB1
PSMG3-AS1
RARRES3
CITED4
GLI3
NEUROD1
PSMD13
CHD5
SDC3
RP11-927P21.6
RP11-514O12.4
RP11-166P13.3
STK16
RP11-318A15.7
CA5AP1
RP11-104E19.1
GNAO1
EMX2OS
SLCO2A1
ACAT2
RECQL5
PSAT1
CCDC3
RP11-321F6.1
DDRGK1
ALDH1L2
ACPP
TBX2
TNFRSF4
NRP2
EMP1
MOCOS
PPFIA2
RP11-154D6.1
RIMS2
AC135178.1
SOX13
CACNA1A
MYL5
EVPL
RP11-973N13.4
SESN2
DICER1-AS1
NNAT
RNF6
AC002550.5
MAPK4
CTC-548K16.6
LYPLA2
DACT3
RP11-118M9.3
TMEM256
RP11-166N17.1
AMACR
TAC3
RNU1-109P
SCYL1
C15orf27
RP11-84G21.1
KLF8
RP11-541F9.1
SLC26A11
LY6G5C
RHBDD2
FDX1L
CTB-89H12.4
DNAJC4
BEGAIN
FBXO8
LINC01021
ING1
BPI
HSF4
AP5S1
AC074212.5
PRKAB2
MLLT11
ANKDD1B
U2AF1L4
SC5D
UQCRFS1
STAM2
NEBL
RP11-303E16.3
C11orf68
STRC
HOMER3
S100A13
AC015987.1
FMN2
CAGE1
IER3
CLIC5
LPAR4
CTD-3088G3.8
AC007009.1
CTD-2287O16.5
RP1-317E23.3
LYG2
PPCS
MYH7B
SLC44A3
ZBTB17
TMEM134
ESRRB
FAM69A
RP11-252A24.7
SLC34A2
ZC3H12B
FANCF
RP11-498E2.7
RP11-661P17.1
APOBEC3F
RP3-462E2.5
COL4A4
TICAM2
FABP5P3
DSP
HSPB7
DNAJC27-AS1
OR7A19P
SPATA6L
CATSPERG
RP4-803J11.2
CTD-2545M3.8
RNF19B
CTD-2562J17.7
AC097374.2
DIRAS1
HECW2
SLC25A22
TCEA3
RP11-843A23.1
NKAIN1
RBM44
RP11-30K9.4
RP11-682B13.2
ANKRD30BL
RP11-776H12.1
ANKEF1
RP3-333A15.2
RP11-277A4.4
RP11-462P6.1
CSPG4
RP11-753H16.3
DDR2
