IGHD
CTC-490E21.12
ZSCAN12
FNDC5
KNOP1
OGG1
RP11-102N12.3
NARFL
MAGOH
DBNDD1
AP4B1
ALDH9A1
RP1-257A7.4
HMCN1
TTL
RP11-611L7.1
BCL7B
AC012123.1
IL9RP3
RNU6-1274P
CLCF1
AC010983.1
RP11-611O2.5
RP11-15F12.1
CTD-2540L5.6
GABPA
PARD6A
ZNF486
TMEM121
PART1
PRDM4
RN7SL211P
C16orf98
RP11-546M4.1
DHX37
RP11-175P13.3
HMGB1P8
OCEL1
PARVA
CTD-2083E4.7
TCL1B
RP11-1070N10.6
IGHV1OR15-1
RP11-587D21.4
PDRG1
BAIAP2L1
RP11-34E5.4
ISOC2
RERG
PRKRA
CYGB
NTN4
RP11-542A14.1
HMGB3
CTD-2544N14.3
RTN4IP1
DENND5B-AS1
RAD1
TEX21P
TMPRSS15
TBC1D27
CTA-481E9.3
RP11-673C5.1
MRPS23
L1TD1
ZDHHC23
PIH1D1
ADPRM
RP11-1149O23.3
ACTL10
RPL10AP2
AP000345.2
USP19
ACIN1
KXD1
FBXL15
AC007390.5
AL009178.1
Z84812.4
CDC42BPG
RNMTL1
RP11-298A8.2
RP11-480N24.3
RP11-228B15.4
CTB-102L5.8
ALKBH8
RP11-35J23.1
PTMAP2
WNT9A
HDHD2
MME-AS1
GLYATL2
ZNF891
PDCL3P5
RP11-356N1.2
RP11-252K23.1
RP11-376O6.2
DSP
AC005831.1
RP11-381P6.1
KAZALD1
RP11-400L8.2
RP1-16A9.1
CBLN3
RP11-32D16.1
SHISA8
CEP164P1
PYGM
AC013717.3
IL24
RP11-147L13.8
AL135998.1
RP9
CTD-2576F9.1
KLF3P1
NKX2-3
SEC1P
AC012074.2
ZNF575
ZNF234
RP3-508I15.20
LINGO3
RP11-307L3.4
IZUMO4
ZNF470
RP11-867G23.13
ESPNL
NUDT11
RP4-575N6.4
AP001059.5
ZNF134
GTPBP3
AC145110.1
RP1-85F18.6
REM2
RP4-584D14.5
HMHB1
LINC00032
GRIN3A
RP11-391M20.1
IGLC7
NACA2
ZNF343
GPR116
RP11-137H2.4
KCNA6
ZNF181
CTA-125H2.1
CTC-436K13.3
RP11-802O23.3
USPL1
RRH
KLK1
GEMIN6
AP001046.5
HHIP-AS1
LCN8
FAM204A
MIR1282
COX6A1P2
MBNL1-AS1
NETO1
