F13A1
RP11-142C4.6
EIF4G2
ETV3
COX5B
SGCZ
LAMP1
APOBEC3C
UQCR11
CHMP1B
RPL23A
LIMD1
MYL7
ARHGAP36
PSMB4
BRI3
PRLR
ANP32B
TCEB2
WBP5
S100A9
PRDX5
UQCRB
RHOBTB3
ALS2CL
RPL21
IRF2BP2
RP11-720L2.2
LSM4
ATP5L
DUSP10
ZEB2
NR1D2
ATP5G3
MYH7
C9
PAM
PRDX6
SOD1
HINT1
GARNL3
SLC26A2
SRP14
LTB4R
C10orf32
NDUFC1
GATM
MAP2K1
ABCA6
MAP3K11
OGDH
CDK2AP1
TNFSF9
MAPK3
GATA6
RBM3
TUBA1C
RP11-293M10.1
JUP
UBL5
MSLN
CLTA
GBP5
YWHAE
H2AFZ
PIM3
TRAM1
RP11-410D17.2
MYL12B
TBC1D15
IGFBP5
CACUL1
KLF3
CNTRL
MRAP
PSMA7
HOXA5
PCBP2
AHCY
UQCRQ
NPM1
RPS27A
CD109
DYNLL1
OPN3
ZNF275
PPCDC
POSTN
PSME2
RPS27L
CRTAP
PLA2G2D
FERMT3
ZNF395
CTDNEP1
CASP9
GAS2L3
TOP2A
DGKD
DRAM2
ZBTB16
KDELR1
STMN1
ANKRD29
SLC25A1
PTBP3
PGRMC1
DYNLRB1
VCAN
KCNG2
KLF11
SUSD3
RAB5C
HSDL2
PTP4A1
RP11-554F20.1
C2CD2
SNX3
TMEM65
C9orf156
ATP5B
IL10
CAPN2
PLEKHA5
PRSS23
NACA
PSMA4
ABCA9
FOXO4
SIDT1
USMG5
EID1
NR2F2
DUSP3
CCL8
NONO
OST4
DGKZ
TMEM236
ASPH
RPN1
GPSM3
AC007317.1
SEPT11
PABPC4
ANKRD12
RPL10
ZNF703
HNRNPA0
FAM129B
NCOA4
ATP6V1G1
ZRSR2
TMEM97
OLFML2B
ATF4
DDT
RP11-475J5.10
LRCH4
GOLIM4
SCAP
TAP2
UQCRC1
P4HB
NINJ1
FGFR4
TPM1
DDOST
DPYD-AS1
KCNK3
COL6A3
CTSH
NUTF2
GNRHR
JOSD2
GNS
CYP51A1
SPDYA
RHOC
PRKACB
FAM166B
TNFRSF25
LDHB
SNHG6
BTF3
AGPAT4
PSME4
SFTPC
ARF3
PMF1
VAMP2
HIF3A
MRFAP1
GRIN2C
TNXB
HGSNAT
MEF2D
NOP10
PTPN6
MLF2
TESK1
TPM3
HSPG2
PPIA
LDB2
RPS7
MYL3
SLC25A5
MXD4
PLXNB2
CRIP1
TSPAN33
CHRAC1
VNN1
BCL11A
ATP6V1F
AKT1
SCML2
GDPD1
CCR2
ARFIP2
HLA-DQB2
RP11-720L2.3
YY1
CENPF
SPTY2D1
MRPS18B
ITGAL
GHITM
RAN
RPL6
C12orf57
ESYT2
TUBB6
GIMAP5
ATP5J
HMGN1
MAPRE2
PPP2R1A
PLEKHG3
OAF
AMZ1
TCF21
H2AFX
TPST2
GCA
PSMB1
IRAK1
CTDSPL
TACC3
LTA4H
NR6A1
KLHDC8B
ZBED3
AQP11
SLC9A7
MTRNR2L1
EIF4A2
AFF1
ATPIF1
PPP1R18
VKORC1
TNNI1
MRP63
RNASEH2C
SERTAD1
PRKAR1A
DNTTIP2
MXRA7
RPS19BP1
ERH
PARK7
CCL13
BANK1
KCNE1
S100A8
TCEAL8
NOV
TMEM55A
GIPC2
MEGF9
RP5-857K21.4
DLGAP3
SIGIRR
GNG5
CNN3
TP53I11
SPINT2
CD9
AOC3
RDX
ST3GAL4
ESR1
ATP5A1
HSPA8
CXCL1
ADH1B
HGF
ANAPC13
PSMD6
CASP1
NAGA
SPTBN1
DSTN
FCN1
C19orf53
ROCK1
ETS1
MZT2B
METTL7B
COL5A1
CARD16
AC004125.3
LAMA4
EIF2B5
POLE
G6PD
CCT5
EGLN2
NDUFA7
TNNT2
DOCK7
PBXIP1
PPP2CA
ISCU
CCR5
C1orf127
PLIN3
COX6C
RP11-752G15.3
CLECL1
RP11-519G16.3
FAM127A
SCAF1
CHMP1A
STEAP4
PLS3
NUDT16L1
GAB1
ARF1
C19orf43
NHSL2
SNX20
SMIM15
PLEK2
TWF2
UBA1
FAM177B
EIF5
CNBP
TIMM13
BCHE
ACSM3
GNA11
ATRN
RP1-206D15.5
AKR1B1
CBX6
FGFRL1
MXD3
C2orf68
ATP5O
ARPC3
SDC4
MYH9
HMGCR
SOCS1
SPN
MGAT4B
ASRGL1
MAF1
ATP6AP1
BMF
DBP
HNRNPK
CLCN5
SF1
LUM
LAPTM4B
AGFG1
SUN2
OBSL1
NDUFB2
YME1L1
KLF16
RP11-1143G9.4
MRPS16
PDHB
DNAJA2
UQCR10
SNX18
AUP1
ARRDC4
TMA7
CTDSP2
SUMO2
ZNF330
RBBP7
MIR202
LINC00116
SUMO3
TMBIM1
SSR3
SET
GUK1
MECOM
MEOX2
COX7A2L
RP11-473I1.10
LDB3
CNRIP1
CCDC106
APH1A
FAM32A
CMTM3
ISY1
C4orf32
CCNT1
SLC43A3
HIST1H2BK
CKS2
CFL2
LAMB2
RP11-325F22.2
MSRB3
GTSE1
FADS1
NCAPD2
CTBP1
CMTM8
AAMP
NLRP12
CYB5R3
PHPT1
LRRC32
TBL1YP1
ALPL
TIMM8B
TOMM7
CD52
APBB3
RGAG4
ARL6IP1
NDUFA10
MESDC1
MRPS21
AC010127.3
MRPL16
LAMB1
SRSF1
KIAA1522
PHB2
MB
ATP5I
NDN
CCL21
FZD5
TNNI3
C1orf122
BTG3
PNPLA8
ECH1
RP11-153M7.3
EMP1
GAPT
TERF2
ISG20
GIMAP6
ATP5G1
CYP1B1
SRSF6
ZNF267
OAS1
SIPA1
ROMO1
ATP5SL
UBE2M
RP11-366L20.2
MAZ
MYL2
TSPAN12
WDR1
IL18R1
PLN
FIS1
LEPROT
C1orf85
CDC42EP3
BMP5
OSGIN1
MT1A
FSTL1
COL21A1
AMIGO2
SLC7A2
SATB1
ATP5H
FKBP3
HHEX
NDUFA4
MT3
CD1C
RP11-597D13.9
EBP
EHD2
SF3B5
DEF8
SERINC3
AMHR2
TNNI2
THAP7
MRFAP1L1
C2orf48
TNFSF12
HNRNPH2
LEF1
FLII
RUFY1
BAG6
PGM5
GRSF1
CCL18
SNX2
KCNE3
KIFC1
AC009948.5
RASA2
WBP11
CYC1
FMNL1
HMGB1
CIB1
MAP7D1
NOL3
CHMP2A
VDR
SSR2
RP11-121A14.3
TIMM22
ERP29
BRK1
C9orf69
MAP1LC3B
CCPG1
YTHDF1
RPL3P4
DUS1L
PTGIR
SCGB3A2
NOD2
UBE2B
VAMP3
DES
SPCS1
BAG1
EIF2AK4
CSNK2B
FHL2
RP11-473M20.14
TXNDC17
RNF5
FKBP4
FOXP1-IT1
NRAS
NDUFB8
ALDH1A2
CPSF1
LAMTOR3
TNNC1
COX7A1
ARPC5L
C6orf48
AMD1
NR1D1
HTRA4
PCNA
SEC61B
WWC3
RAB3IL1
PRSS36
SAP18
ST13
C1S
UBQLN2
DUSP22
CPNE3
GRB14
EML3
HSPA5
SPG20
MYH3
DACH2
TM9SF3
CSH1
ARHGAP9
TMEM258
ACTA1
BMP2
ANP32E
CCND1
SLC7A1
STX5
TMEM223
UBD
TSTD1
LYRM1
MTCH1
CYYR1
ILDR1
CLN6
THAP1
CDK1
NPPA
EPHB4
MDH1
KAT8
RP11-434D9.1
TMED2
STRA13
SKP1
RPH3AL
YPEL3
MFAP4
UQCRFS1
ECHS1
TSPYL1
DIMT1
MOCS2
OXA1L
TMEM19
HPSE2
ERLIN2
LOXL1
SERINC1
RAB11A
CXCL11
CALHM2
FCGR2B
TMEM106C
RP11-445F6.2
SHMT2
VPS9D1
NDUFS2
RACGAP1
SNAI2
TM4SF19
CLEC2D
VMA21
VPS37B
PALM2-AKAP2
SERPINE1
ARF5
COPB2
LURAP1L
ARHGEF39
COMMD5
TBC1D10B
C8orf33
PKD1
QARS
MDH2
MTND4P24
ARMCX1
GOSR2
SRL
ZNF117
HOXA3
TARBP1
ASB4
LINC00998
RNF6
CTC-548K16.5
RP11-701P16.5
COL4A5
MIR4461
LINC00657
CRYAB
NDUFB5
PRKCD
CDK2AP2
AURKB
STX10
ARPP19
FZD4
LMAN2
FBN1
HOXB3
CSNK1D
AQP2
PRKCQ
BCL7C
PDIA6
FMOD
GLOD4
TOR1AIP2
KIAA1191
TRIM24
RAB11B
NUBP1
C6orf211
GTF3C6
FLT1
TRAPPC2L
RP1-69D17.4
FUOM
SLMO2
POLR2J
KCTD20
HSBP1
BEX4
TFPI2
RPS26
HSPB7
PRMT5
EXOSC3
IGF2-AS
PSMB7
WDR83OS
EIF1AD
HBP1
NSMAF
GPKOW
DUT
MRPL19
AC005307.3
RP4-678D15.1
MRPL11
COX5A
LSM7
CDK10
SLITRK4
LINC00086
SLC35A4
RNF125
TM4SF19
CHRNB4
BTN2A2
CRY1
MYD88
NIPAL2
TIMM17B
RP11-760H22.2
ATOH8
TMED7
RARRES1
FIBP
THBS3
PRRX1
MAP1S
ZBTB10
MRPS17
CHCHD5
MAPK8IP3
RAB34
MAGED2
RSRC2
CDIPT
YWHAQ
CKLF
TLE1
DUSP7
TOB1
SIGLEC5
MYLK
TCP11L1
MED1
MRPL9
CCDC124
GUCY1A2
PCDH15
PAXIP1-AS2
MRPS30
RP1-214M20.2
AC007246.3
IDH3B
MCFD2
TATDN3
ERAL1
MCM3
RRN3P1
ATRAID
SLC39A1
MAT2B
ERLEC1
FILIP1
HNRNPA3
NDUFB3
ZNF706
HAPLN3
TPRG1L
TMED1
HAUS7
SOAT1
XAB2
PWWP2B
EPHA1-AS1
IMPDH2
LGI2
TEX261
WDR36
GNPTG
TRAF7
MEGF6
SPOCK3
STRAP
MRPL37
SSNA1
CALCOCO1
PDP1
IL27RA
PPIL1
TAF7
OSTC
GPX8
TTL
RARG
PI4K2A
MYLPF
MTRNR2L2
TP53INP2
BATF2
PGK1
PES1
RP4-714D9.2
TMEM179B
TRIP10
TDGF1
ARHGAP28
CIC
BROX
IK
SLC26A1
LONP1
TPTEP1
ECI2
COA3
RPL36A-HNRNPH2
ASH2L
INIP
TOMM20
CPNE1
PMPCA
MAP3K15
FAM103A1
YIF1A
ESD
DNAH11
TM2D2
TARDBP
C10orf32-ASMT
DPP3
DOLPP1
WDTC1
JAGN1
BTBD3
BANF1
SNHG7
C19orf48
SFPQ
CSF2RB
CARD8
PPP1R11
CHPT1
TSPYL4
HOXA10
SNX12
MRPS7
RP11-1260E13.4
RNU7-41P
EPHB6
POLR2K
KCNJ15
TK1
FAM195A
RBM20
CCDC59
NME4
VENTX
GUCD1
CRLF1
FN3KRP
RPSAP52
CLK1
MKRN2
RP11-1035H13.3
SGTB
MRPL34
TSPAN18
PSMB6
PRMT1
RABAC1
CBX4
CD34
CHMP4B
GTF3A
RP11-123M6.2
RPS23P8
MRPL51
BUB3
SFTPB
AC135048.13
LINC00087
HEXIM1
EIF3K
SLC22A3
C9orf16
HOXB2
UPF1
RP11-425L10.1
BST1
CDT1
AHSA1
PTGFRN
SRP72
CUEDC2
PPP4C
ABCF3
SECISBP2L
LTBR
RHOF
HADHB
FGF12
TAB1
ARMCX3
C4BPB
PSD4
UQCRH
RP11-701P16.2
HNRNPA1P48
RP5-935K16.1
PAX8
TRIM8
NCSTN
FAM200B
MRPS6
REEP5
PSMD12
DTYMK
UBXN1
GRINA
PAPSS1
TMEM236
UBE2C
GP2
U2AF2
ZFHX4
VPS4A
CLK2
RNF150
ROS1
GIGYF1
NSDHL
PTPRH
TMED5
C15orf48
EREG
GPS2
NTN4
ASB9
PIP4K2B
CYB5B
COA4
ANKRD22
CTD-2006K23.1
HAS2
RP11-1033A18.1
ABHD13
PHF10
PTRHD1
SERP1
IFFO2
MPLKIP
GDE1
RCC2
CD27-AS1
PLK2
PPP1R14B
F11R
COMMD8
MYL1
HEPH
IRS1
RBM7
TNFSF13B
VPS25
DAK
REST
ANAPC15
TRPV2
SLC17A9
SCN7A
CYP7B1
NDE1
ZCRB1
CDC20
C7orf73
HIST1H1C
RSPO2
EGFL6
SAT2
SRSF2
SHFM1
MTPN
RASD1
FUS
ARL6IP4
AC000120.7
CERS2
AL035610.2
RP5-940J5.9
ARG2
CEBPA
MRPS22
RP11-1275H24.1
LMF2
RP11-4O1.2
FAM213B
MRPL17
MKKS
CSRP3
PNKD
NPR3
PEPD
KIAA0430
MGP
ACKR3
SMC6
CTC-241F20.3
HS3ST2
AKT1S1
NUDCD2
EPB41L4A-AS1
RP13-638C3.4
TMEM41A
MFN2
GPS1
LMNB2
AP001053.11
MLXIP
RP11-138I1.4
AP001372.2
LAMTOR5
FAM96A
FERMT1
TUBB4B
STOML2
TMEM9B
ENTPD6
YIPF3
SETD4
IFT20
TMEM170B
SERPINB8
RPUSD3
MAP3K3
REPIN1
MTND1P15
PRPF40A
KCNA5
C14orf1
PHLDA1
NDUFS3
MRPL33
MED21
AXDND1
CD248
ZG16B
RP11-58E21.3
CDK14
TBX2
CYBRD1
SEMA3B
SIGMAR1
BTBD11
TTC7A
RPSA
PLEC
COPA
VEZF1
RRAGA
AC024592.12
TMEM70
UBE2Q1
GEMIN4
ILF2
GRB10
RBBP8
CCNB1
CTD-2287O16.5
GPR116
POLR2H
RUVBL2
PDGFD
DOK4
SLC3A2
CTD-2175A23.1
GSPT1
FSTL3
SH3BP1
DEXI
UTP3
PTPRN2
SNRPE
CSTF2T
VPS26A
URM1
SIGLEC14
FH
LRFN4
CCDC62
BOLA3
CTC-503J8.6
GID8
MORF4L2
SBDS
VDAC3
SOCS2
EXOSC6
COL14A1
CYP20A1
SLK
UNG
SEMA3D
CAMK2N2
MIEN1
ASCL2
LRRC58
C1orf198
C17orf80
BRPF3
MEI4
RP11-222A11.1
AKIP1
EMCN
STUB1
SAMD3
HSD17B10
BAD
TMEM238
SMYD1
HEATR5A
RP1-167F1.2
RP11-832N8.1
ARL4A
APOBEC3G
CEP135
GXYLT2
AC109826.1
CTD-2636A23.2
PDCL3
CELSR1
TRIP6
ACP1
DUSP18
CTD-2015H3.2
NUP160
TIMM50
AMDHD2
HN1L
SPCS3
ZNF365
TRAPPC3
PRDM4
CLDN6
SNRPB2
RP11-395P17.3
PSME3
RP11-277P12.20
MRPL50
RP11-65J21.3
HSD17B4
PAQR7
SIGLEC5
ZNF467
MSANTD4
CRAT
C14orf80
CLIC5
PFN2
PTRH1
HOXB4
RAD51-AS1
SCOC
NDRG4
SLC22A18AS
ZSWIM1
SLC27A6
SNAPC5
ABO
HAND2
ETNK2
APMAP
SCGB3A1
APOA4
AC104841.1
GABARAPL2
SAPCD2
RP13-977J11.2
CXCL16
CTNNAL1
RP11-321F6.1
AURKA
ARHGEF28
GPR124
GGPS1
RP11-420L9.5
TMEM39A
C8orf82
RP11-67L2.2
PIGG
COX7A2
CTD-2201I18.1
DDRGK1
SERPINE2
RP11-1055B8.7
COASY
NEDD8
TMEM167A
TWIST1
EIF3E
AK3
EMC8
RP11-473M20.7
SNHG18
RP11-359B12.2
POMC
PRMT6
MARCH8
HSD3B7
GOT2
PCOLCE
MYH10
TMEM102
KCNK10
EBAG9
RNF7
AC016722.4
KB-1208A12.3
SNRPF
IDO1
RBBP9
ROBO4
CCDC8
RP11-290D2.6
SNAPC1
RWDD2A
ZNF622
PQLC2
KCNK5
FBXO5
RP11-226L15.5
TUBA4A
CREB3L1
KRBA1
AQP3
TTC31
BCL7B
UBXN6
PHF23
TM4SF1
COX7B2
HYAL2
ADAMTSL1
CLDND1
ING4
PIM2
FAM109A
CUL4B
PLA2G2A
KXD1
NOL7
LINC00984
ZNF33B
C8orf4
RP11-317J10.2
IFI27L2
TAF9
PSMA3
TMEM9
JMJD8
LSR
TRIM71
EMC10
RP11-477D19.2
BTN2A1
