CD209
TK2
ATG4C
LGALS3BP
AP000304.12
RP11-6I2.3
AC007879.5
SPIC
GALNTL6
TMEM37
KIAA1683
WDR70
GNPDA1
PAPD4
PDE1B
ZNF503
ATP6AP1
HEATR3
RP11-597D13.9
PXDC1
PARP9
SLC26A11
AKAP10
ARL5B
WNT2B
CAMKK1
DSCAM-IT1
CABP4
ARMC2
RP11-54A4.2
SIGLEC7
RP11-150O12.1
FBXL7
ABCD1
LINC00854
EGFR
CLTA
PHKA1
SLC35F6
CTD-2105E13.14
SIGLEC16
SDS
AKR1B1
EPN1
IL10
RP11-118B18.1
RP11-153M7.3
CDCP1
IFIT3
OAS3
SPATA7
ACVRL1
SYNJ1
RP11-300J18.3
TMTC1
ZNF503-AS1
MMP19
EMR1
HS1BP3
CLEC4GP1
RP11-563J2.2
TCF7L1
TBC1D30
GGA1
AC104809.4
ACP2
SPATA20
CARD14
HS3ST3A1
RP11-390P2.4
NR3C2
KCNJ2
TMEM132E
SPSB4
RPP25
GATAD1
TMEM150B
IFI44
PGBD5
WBP2NL
RHBDD2
PTPRB
FILIP1L
RP11-157G21.2
C15orf38-AP3S2
STAM2
AC004125.3
PLBD2
SHMT1
ATRNL1
RP1-60N8.1
ETNK1
FHAD1
MTFMT
MYLIP
PPM1N
CCDC152
TRIM47
NR2F2
C9
DAAM2
DCLRE1CP1
DCUN1D3
ZNF267
RP11-403P17.5
IFI27
KCNJ10
MCUR1
TM9SF4
RP4-545C24.1
BBS5
FAM91A1
ETV1
SIGLEC12
RP11-431K24.1
LHCGR
DZIP1L
EPHX1
C1orf85
CCR3
RP11-750B16.1
RNU7-40P
snoU13
RP11-720L2.2
CCL8
SCN4B
KIAA1841
IKBKAP
NBEAL1
IFIT1
USP4
ZDHHC19
STX4
LTBP2
NEURL
AC009892.10
WNK2
RPL21P135
RP11-1260E13.4
RP11-848P1.3
YTHDF3
RP11-483P21.2
CASP5
MRO
CXCL1
FAM198A
RP11-38L15.3
SDSL
RP11-848P1.2
ST13P15
TNFSF15
SLC12A5
ENOX2
RP11-281A20.1
TRIM50
UBE2D4
CTD-2349B8.1
GRIN2D
CTC-1337H24.1
RP11-1082L8.3
DENND2A
BATF2
AL133458.1
SULT1A2
RP11-309G3.3
NEURL2
PCBD1
RP13-635I23.3
RP5-1056L3.1
AC010127.3
MRAS
HOOK2
RP11-254F7.2
PAXBP1-AS1
ZMIZ1-AS1
MMP15
RP1-225E12.2
PLEKHH1
RP11-690J15.1
PLXNA1
HTRA4
ZNF562
MTMR9LP
RP11-406H4.1
RP11-720L2.3
RPS19P3
WBSCR27
CTC-548K16.6
AC010492.4
VMO1
ALMS1P
RP11-90P13.1
RP11-467I17.1
BBS2
TRNP1
RP11-78B10.2
CYP51P3
RP11-503C24.4
C11orf45
C11orf96
AIFM3
TMEM236
GNG12-AS1
RP11-333E13.4
CTD-3025N20.2
AC007364.1
UPK2
SLC22A18AS
MFSD7
AC097382.5
LGI2
PAX8
RP1-93H18.6
CTC-436P18.3
RP11-214N1.1
ZBTB7C
CTD-2207O23.12
UVSSA
ATP6V0D2
CCL13
SYT12
RP11-885B4.1
ZNF189
RNU6-1300P
ZKSCAN4
CTD-2307P3.1
RP11-98D18.3
RP5-857K21.4
SLC25A34
NUPR1
ZNF333
IRF9
RP11-861E21.2
CRY2
AC113189.5
PAPLN
TNFSF13
RP11-211C9.1
IL17RC
CHRD
KCP
RP11-285E9.6
TLX1
ITLN1
AP000797.3
NAGPA
USH2A
RP11-94P11.4
NEIL2
RP11-1008C21.1
RP11-472M19.2
RP11-1H15.2
RP11-809M12.1
PRSS36
PPP1R3G
RP11-367B6.2
SLC39A12
RAMP2-AS1
CTD-3096M3.2
GPR42
RP11-1080G15.2
GALNT8
ZNF812
AC012307.3
PITPNM3
RP11-711M9.1
NPHP4
PDZD7
TMEM236
DHRSX-IT1
RNU1-11P
RP11-861E21.1
RP11-182J1.5
MMP12
MIR4461
MKLN1-AS2
SDHD
WDR36
TM4SF19
UBD
CXCL11
GSDMA
PKD2L1
RP11-420L9.5
GCKR
RP1-134E15.3
RP11-806O11.1
LINC00698
RP11-156K13.1
RP13-638C3.4
CAMK2N2
CTD-2350C19.2
OR10N1P
RP3-460G2.2
LPA
RP11-84A14.4
RP1-300G12.2
DHDH
AL118506.1
UBE2V1P1
VWA3A
HSPA8P14
LINC00086
UNC80
RP11-630D6.5
RP11-324E6.6
TBRG1
MTND1P15
KLHL41
TSSK3
RAI1-AS1
RNU5B-1
LRRIQ1
