S100A8
APOBEC3A
AP2M1
CLCN7
TSEN34
NXF1
ACOT8
TAF13
TNC
AHCTF1
POLR2J
F5
SPOCK1
CHCHD5
RP11-802E16.3
AOAH-IT1
SNRPG
INPP5K
LRPAP1
ST6GALNAC2
LILRA3
DHX34
GPX3
PRLR
RP11-552D4.1
NBN
MON1B
RP5-940J5.9
RP4-576H24.2
POLE4
ACOX1
FAM200B
BIN3
HSDL1
SLC27A3
HCAR2
RP11-849F2.8
CEBPG
SOWAHD
GBAS
ABAT
LOXHD1
PGM5
RIT1
CCRN4L
MTHFS
IDH3B
RRAGA
BTNL8
NFXL1
ATP5SL
GOLPH3
UBXN10
LINC00324
CYP51A1
AC092839.3
MTF1
VPS25
CNEP1R1
ANKRD22
CTB-83J4.2
RP11-373D23.2
DDX49
RP11-475J5.10
LINC00937
PXMP4
METTL22
GLRX
RN7SL32P
SEC24C
ALPL
AP1G1
PLAGL2
C17orf89
SLC5A10
TBL1YP1
WTAP
CTD-3149D2.4
RN7SL280P
NELFE
RP11-111A21.1
BGN
CXCR2
DPH3
SLC19A2
SWSAP1
VRK3
C10orf91
C20orf24
BCO2
TDRD9
RP11-701P16.5
CENPW
DGAT2
KIF1C
TBL3
BPI
ADRB1
NELFB
TBRG4
GZF1
RP11-473I1.9
AP003774.6
TOLLIP
SMU1
CTC-325J23.2
MUSK
RBBP9
VPS26A
C19orf59
TRIM3
TPPP3
VSTM1
HCAR1
UTP11L
ARPC4-TTLL3
TOR1B
RNU4ATAC
CRCP
RNU6-523P
LRRC37BP1
ICT1
MNT
ZC3H3
GNL3L
LETM2
COQ10B
PARL
AC008937.2
CYP27A1
RASA2-IT1
FAM160B1
C6orf211
KCNJ15
CACNA2D4
SBDS
RAP2C
MMP17
AP003041.2
RLIM
TOMM40
DKFZP761J1410
ARAP3
RP11-1D12.2
TIMM8B
ARFGAP1
LONP1
MBD6
SHROOM1
TGIF1
MICB
ANKRD40
RP3-417G15.1
NAIF1
ANKRD61
TBX18
ZNF385D-AS1
RP11-338E21.2
CTD-3018O17.3
NEBL
PRKAG2-AS1
KBTBD2
RWDD2B
RBKS
PSD2
TMC4
RP11-718G2.5
TRMT2B
C8orf82
AP3S2
SLC9A6
CTRC
RN7SL552P
C2CD2L
CARS2
TIMM10
PLEKHH2
TNNT1
CDK5
RP11-4C20.3
AC008984.7
SMARCD3
MIR4519
DNTTIP1
CASC8
RNU1-134P
AC009093.1
PABPC1P3
APITD1
RP5-1051J4.4
RP1-30E17.2
RP1-80N2.3
RP11-324J13.2
PLEKHM1
NTSR1
BX470102.3
CLDN4
IL31RA
RAD9B
TBX2
RPL23AP79
AP001053.11
RFK
RP11-296A16.1
BAD
RNU6-212P
BAG4
MARC1
PSMA8
FAM160A2
S100P
FRAT1
RP13-512J5.1
CAMP
HMGB1P3
RP11-439L18.1
CCDC73
TMEM79
RPL10P15
DAPK3
CRLF1
MON1A
AGPAT6
PTX3
IST1
RPL37AP1
CTD-2540B15.11
VTI1B
MGC2752
PPFIA4
AP000282.2
CRISPLD2
F12
PPP5D1
C1orf233
WDR24
DES
LRP3
AGRN
AC079776.2
TUSC2
IMPA1
RP11-5L12.1
NARS
CLEC4D
EIF4E2
SAFB2
C9orf64
AMDHD1
GPATCH1
VIPR1-AS1
GK-IT1
PLEKHM1P
KIAA1244
MRPS7
AC005592.2
SREK1IP1
LAMTOR3
C19orf35
PAX2
LIPN
RP11-120M18.5
CNIH4
AC135048.13
PDE2A
OLIG1
TCEB1
DVL3
ARPC1A
CTD-2336O2.1
ZNF418
RP11-288I21.1
CTB-89H12.4
RP11-806H10.4
MTRNR2L2
RP11-688I9.4
LPAR3
TMEM120A
SRRD
CTH
IGIP
HSP90AB3P
RP11-170M17.2
CTD-2015H3.2
CTD-3118D11.2
RTFDC1
ING2
AC091878.1
DNAJC25
SEC11A
PPP1R3D
BLOC1S3
RN7SL473P
CCDC9
PIGG
RP11-728F11.4
UTF1
NBPF18P
RP11-1024P17.1
TPTE2P6
RP11-34P13.15
KIAA1462
RP11-323N12.5
RP11-809O17.1
RNF26
ZNF890P
RNU4-38P
CEBPE
RP1-62O9.3
HS3ST5
AC132872.1
AADAC
CA6
SEC62-AS1
LINC00094
SLC9A8
SLC27A6
SLC26A6
F11-AS1
PDCD6
KAT5
FPR2
NSFL1C
RNU6-979P
AC116366.6
HYAL1
ST8SIA3
PABPC3
AC105402.4
ENDOV
RP11-240E2.2
ATP6V1C2
NUDT15
SLC39A7
RP11-54C4.1
TAF9
AP5B1
VNN3
DCDC2
RIOK2
THUMPD3
RP11-293M10.2
SYN1
AP001266.1
CPA2
AC000120.7
FCF1P2
CDC42EP2
CALML4
RP11-347C12.2
LZTR1
AC012363.4
CETN2
CLEC4E
NAT9
SURF1
RP11-415F23.3
PRR16
AP000769.1
TRAPPC5
RP1-90J20.12
RP11-439A17.10
HMGCL
ATP6V1E1
CTD-2194L12.2
AP5Z1
FAM220A
CEACAM3
RP5-968J1.1
RP11-84A19.4
RP11-442A17.2
SLC9A7P1
FGFRL1
RP11-651L5.2
RP11-262D11.2
CTC-297N7.8
COPS7A
C1QTNF7
ELF3
MEF2BNB
RPS11P5
CSRP2
UBAP2L
AP000355.2
FAM219B
B3GNT8
SDHAF1
ENY2
MIR624
WDR74
RAC1P2
RP11-91P24.6
RP11-556H2.3
CALB1
DIABLO
RP11-661A12.5
CCDC147
RP11-215A21.2
RPL13AP6
NUDT16P
AC079325.6
ALMS1-IT1
WISP1
RP11-649A18.5
RP11-967K21.1
RP11-961A15.1
RASL12
RBMXL1
CTB-50L17.14
GIN1
SLC34A2
RP11-638I2.8
ALOX15B
RIN1
AIF1L
ITGBL1
RPS3AP49
RP11-946L20.4
AGBL1
CTC-458I2.2
TCEA1P4
AC093157.1
E2F3-IT1
RP11-529H2.2
SLC35B3
ATL3
YRDC
LINC00999
RP3-511B24.6
RP11-100L22.2
RP11-645C24.5
KMT2D
AC005329.7
TREML3P
FTLP3
MYO16-AS1
RP11-23P13.7
RPS3AP6
MYH13
RP4-583P15.10
SCARF2
FOXN1
MYLK4
RP11-613M10.8
CERCAM
PACSIN3
MGAM
KNDC1
Y_RNA
RP11-1246C19.1
ARC
ALG1L13P
AC007272.3
C17orf97
ZNF576
GBA
CRIP3
RP11-160O5.1
RP11-266A24.1
EBLN2
CARNS1
JMJD6
RP11-378A13.2
ALS2CR11
RP11-746M1.1
Y_RNA
LRP4-AS1
RP11-256L6.3
CTC-429P9.5
RP11-274B18.4
RP11-723D22.2
RGS7BP
SERPINB2
CCDC39
DNAJB12
ZNF787
DDX10P1
UBE2B
MIR3150B
SNORD3B-2
CLEC3B
LRRC37A15P
GJB6
RP4-647C14.3
OFCC1
RNF25
MED22
NEK5
C11orf70
C19orf54
RP11-932O9.7
SEMA3E
RP11-470P21.2
RP5-940J5.6
BEAN1
CTD-2184D3.5
CITF22-92A6.1
RP11-770G2.2
RP11-229P13.20
RP11-998D10.7
BMP4
FUK
TM4SF20
AC110769.3
BMX
CTD-2545M3.8
RP11-178L8.4
EXD1
ZNF473
SNORA37
PICK1
HMGB3P22
AC132872.2
DGKK
CACNG3
ATP10B
RP11-48B14.1
