LINC00299
HNRNPAB
SP3
CSNK1G3
CKLF
AC018816.3
DFNB31
CNOT2
KRT86
GYG1
TMEM238
PHLDB2
LOH12CR1
AC004901.1
RARG
TRIM56
DLG5
PRKCZ
UBAC2
HIC1
RP11-108K14.4
MFGE8
PBX4
RP11-293M10.1
SMG6
RP11-89K10.1
STAU1
RP11-469M7.1
IL17RE
TMC6
PDK3
BRAF
BCAS3
NMUR1
KIAA1324L
TET1
ANP32E
HSPA9
UEVLD
OBFC1
TMEM135
LINC01057
TMEM64
TCF20
GPR68
NR3C1
MYH11
MPRIP
TNFSF11
SF3B2
GNL1
PDSS2
HUWE1
CCDC91
GATAD2A
HERC6
PRNP
KMT2E
ZSWIM4
BRD1
AP3D1
CPNE7
YME1L1
HNRNPC
RFC1
EPG5
NOD1
PGM1
COL4A4
TP53I13
PHTF1
MPV17L
HMGN3
CC2D2A
NCOR1
XIAP
DDX24
SRRT
MCAM
ISG20L2
TSEN54
CCSAP
RANBP2
FSD1
CHD2
AE000661.37
SFMBT1
ZBTB21
KLHL36
KRT81
DDX18
TMEM160
RALBP1
POMT1
REEP3
AJAP1
MGEA5
ARG2
NDUFA13
GRHL1
ZSWIM5
CCDC57
SNAP91
CSNK1D
RP11-154D17.1
MIR24-2
SCD5
RP11-539L10.2
CLUHP3
SOS2
AC007969.5
TSPYL2
DMGDH
GNG12
NEK10
NUTF2
EXOC2
BIVM
WWTR1
YWHAQ
LINC01059
CA10
HTATSF1
MBTPS1
KIAA1456
TNR
RP11-563D10.1
UBE2S
PRR12
FYCO1
GPATCH4
FASN
KLHL25
PRPF6
LRRN1
CHST9
CAPN15
MVB12A
DLL1
TXLNG
CCNT1
CKLF-CMTM1
SOD1
PPM1B
LNX1
FAM167A
SLC25A36
TNRC6C-AS1
SPTY2D1
MED29
C9orf3
PCAT1
MAP2K7
MRTO4
ZNF362
RP11-68I3.2
LINGO4
FAM174B
NOL9
SLTM
KCTD17
NR1D1
KLF11
RP4-647J21.1
RP11-103J8.1
PPM1A
PEBP1
SETD2
ASCC1
TWISTNB
SKIV2L2
TMOD3
CHMP6
WDR86
DYNC1H1
SRI
ECI1
FAM177A1
SOGA2
FTO
SYDE2
LAYN
GRID2IP
NCR2
KLRF2
ZNF644
DNER
SLK
SEPT2
MORF4L1
LZTS1
C19orf60
BRSK1
PLCD1
ST8SIA2
DYNLT1
DDX6
DDX10
BRD9
USP10
ILDR2
S1PR3
GDE1
WAC-AS1
SYT3
MPG
RPS7P1
MAP3K7
MYO6
BZW1
ARL14EP
DYNLT3
RP11-239H6.2
NEK7
RLF
ADCY9
PTPN9
AC007464.1
VEZT
GPD1L
ZMAT2
RNF152
RP11-296O14.3
PTPN11
SMARCC2
CTD-2555O16.2
KCTD9
CRTC2
MXRA7
RAB15
TARSL2
CHRNB1
LINC00892
RGS16
ATOH8
TEX30
CREBBP
ADCK3
GOLGA8A
RP11-16E23.3
RP11-705C15.2
ARL3
FAM184A
AKT1S1
CUL3
GGT1
RP11-445N18.5
RP11-945A11.1
ARL2BP
ATP9B
SEMA6C
TMEM167A
TDRKH
RP11-456D7.1
HLCS
ZBTB4
FAM189A2
NPEPL1
DDX23
RQCD1
COL27A1
AC125232.1
SLCO2A1
C2orf68
GTF2B
DOK4
YTHDC1
RP11-47I22.3
CTD-2547L24.3
SCAF1
EIF1AX
ARSJ
FSTL4
ARHGAP44
SOAT2
MOB2
RBM34
AC109826.1
ATMIN
CDH4
MSH3
RP11-487E13.1
CLIC5
RP11-64D24.2
H2AFJ
WAC
MINOS1
AFAP1L1
ZBED4
KIF7
EVC2
CCDC97
HIST1H2AJ
USP5
AL450992.2
FAM155A-IT1
SCYL3
NPM1P27
BAG5
EXOSC7
BMP7
ANKRD23
B4GALNT1
RP11-328K2.1
TCTN3
EFCAB8
STIP1
PEX26
CXXC11
NCS1
MED17
RP5-935K16.1
EEF1G
SPDYA
PI16
PCDH11Y
METTL16
WBP11
RP11-936I5.1
RAB18
RP11-112J1.1
PSMG3
MPZL2
ZBTB11
VSTM4
TMPRSS3
NOL4
OTUD4
NDUFA10
AP1AR
C17orf59
PTGDR2
RP11-571M6.8
WHAMMP2
AC007285.6
C19orf68
RP11-212P7.2
RGS9
SLC35G1
CCDC59
RP11-317N12.1
RN7SL443P
ZNF580
HSPA14
RP11-567J24.4
ZNF688
OPA3
GALE
MROH1
SLC44A3
AC147651.4
LYNX1
TCP11L1
TRADD
ISM1
HINT3
IL17A
ZNF410
TMEM51-AS1
KCNJ3
POLR1E
RP1-56K13.3
SCARNA18
ZNF212
HIAT1
PPP2R2A
IPO8
SOST
CTC-499J9.1
IL26
DOK7
TMCO3
R3HCC1
TRAJ20
RP11-370A5.1
WHAMM
RP11-573D15.8
RHEB
PGAM1
CEP19
MAEA
MORC4
RN7SL749P
TDP1
EFCAB5
RP11-31F15.2
CYP20A1
KDM5C
FAM199X
NBPF3
RP11-360F5.1
NAF1
LYRM2
SLC22A20
THAP7
STX17
NNMT
B3GALT2
SLC25A20
C21orf88
ZNF10
FAM115C
PERP
RP1-68D18.2
CCL20
IL2
RP4-723E3.1
C1orf173
NKAP
BMP8B
GFPT2
IRGM
RP6-91H8.3
CCDC104
PRKD1
RPL15P3
ZMYM5
FMR1
SIAH3
HOXA7
RP11-539I5.1
ACAT2
MRPS17
SSPO
RP11-62H7.2
AC010967.2
EIF4H
RP11-526I2.5
AC104695.3
RP11-1094M14.4
WDR86-AS1
LINC00334
ZNF414
C10orf90
RNF207
ZNF14
AP4B1-AS1
FSBP
CHCHD6
CAP2
AC008982.2
AC016773.1
GLDC
AC006132.1
LL22NC03-80A10.6
SLC25A40
TRPC3
MAGT1
GPR143
ADNP2
RP11-442A13.1
AF131215.9
KDELC1
AMMECR1-IT1
AC009133.17
RP11-661A12.7
THYN1
RP1-184J9.2
SHROOM3
LINC00176
OSBPL2
EAF1-AS1
FAM98C
LPPR5
CRNKL1
CTD-2576D5.4
CTD-2410N18.5
VPS72
RPL30P4
SERPINA11
C17orf75
GOLGA8M
GNG13
AF064860.5
RGPD4
TP73
AC016894.1
PIGA
PHF1
AP000251.3
RP11-204L24.2
IFT140
AC037445.1
ZNF844
SGCE
SIAH1
DNAAF2
PHF2
SYCE1L
C1QTNF1
GNRH1
AC012146.7
ZNF488
MYRFL
RP11-640N20.9
RP4-668G5.1
RP1-102K2.8
KCNH4
RP5-1074L1.1
ASTE1
CTD-2643K12.2
RP11-81K2.1
RP5-991G20.4
APOA4
NLRP6
RGPD1
KIAA0195
RGS22
PEX1
SRPX
RP11-192H23.5
UBBP4
TACC2
RALGAPB
AREG
SART3
RP11-403I13.4
FAM133DP
KIAA0087
INTS5
C1orf141
ZNF764
SPATA2
RNU1-109P
RP11-282K24.3
CTU1
RP11-297A16.2
VSTM2B
METTL24
RP11-1000B6.3
RPS6KA6
RP11-496N12.6
RP11-96H17.1
RP11-139H15.1
RABGAP1L-IT1
RP11-3P17.5
IGFBP6
BAHD1
CYP2E1
RP11-541N10.3
DPEP3
RP11-298I3.5
PIGW
RP11-427M20.1
RP11-74C1.4
Z83840.1
OSMR
ZNF783
ABCA10
RP11-429E11.3
PALM2
RP11-314N14.1
FAM84B
PCDH20
RP3-393E18.1
PINK1-AS
LRRC49
DCTN6
PNKP
CSNK1G1
snoU13
MMAB
RP11-197P3.5
RP11-415F23.4
C19orf71
KNOP1P4
RPL12L3
RP11-1033A18.1
ACBD7
AC092338.5
AC009299.3
PDP2
AC004067.5
ZNHIT2
RP11-57K17.1
CCDC157
DSEL
ADSSL1
RP11-462L8.1
RP11-442H21.2
TRIM39
RP11-79N23.1
RP3-402G11.27
TP53INP2
ANKS3
SYN2
AC012613.2
RNU6-868P
RBM24
RP11-313D6.3
RP11-574H6.1
RHEBL1
LINC00641
RP11-157I4.4
IL17RB
C14orf164
AC016700.3
AP000350.5
CHDH
RP11-710C12.1
RP11-532F6.3
RP11-849F2.10
CTD-2517M14.5
PLCL2-AS1
TRGJP1
ZNF790
CTC-487M23.8
RP11-240M16.1
DNAJC9-AS1
ATAD3C
C14orf23
BSN
EIF4BP6
AC005537.2
ZNF329
AC091633.3
AC004237.1
RP11-544I20.2
BRF2
SV2B
RP11-544A12.8
REG3G
SPRN
RP11-146N23.1
ZNF784
ZSCAN16-AS1
snoU13
RP11-324O2.6
AJUBA
MTMR7
GRB7
RP11-384F7.1
DMBT1
