GNLY
ZNF276
RP11-977G19.5
ECH1
SPTSSB
SETD3
VPS26B
DCAF5
HERPUD2
AC005944.2
GPATCH8
RP13-297E16.4
RP11-103G8.2
ZC3H15
MSL1
DMWD
PRR7
SSU72
GADD45GIP1
BRPF3
UQCR10
RNASEH2C
THRAP3
GNGT2
SLC12A8
IRAK4
GABARAPL1
ATP9A
IFNG
USP25
PAXIP1-AS2
ZBTB37
NEB
CIRH1A
TSPYL1
KLRC4
RP4-794H19.2
CEBPZ
RPL10AP6
CHIC2
RP11-58E21.7
PSMD13
CACYBP
NFKBIB
RECQL
TOMM22
GPR55
CTC1
NRK
PELO
DHRS7
AKT1
DNTTIP2
ADH5
DGKQ
RPL6P27
SF3B14
PPP1R11
GREM2
RBM22
DEDD2
ESCO1
NPM3
APOBEC3F
FUT11
DYNLRB1
MTMR8
NLRP2
SNAI3
ERMN
SMIM11
TMEM134
TBKBP1
FCRL6
LAMA4
ATP5H
CDK10
RAB1B
KIR2DL3
RP11-734K2.4
C11orf48
ZNF853
FOXO4
TTC16
NDUFB5
GORAB
C19orf66
B3GAT3
FBXW5
NKG2-E
PSMC3
AK5
LINC00528
TXLNA
KRT72
MED28
RP11-489E7.4
IFITM1
RCN1
RP11-452D12.1
GRWD1
C20orf197
HAX1
SIRT2
ITGB1BP1
RP11-47L3.1
RP11-403I13.8
UHMK1
CHMP1A
GTF3C1
AC007278.2
NPTXR
RP11-485G4.2
C14orf182
TRAPPC2L
PVRIG
RP11-401F2.3
KIR3DX1
RNF187
AC006369.2
IK
PLEKHB1
RP11-471B22.2
GALT
TRAPPC10
RP11-277P12.20
C9orf69
PPP1R15B
CTD-3088G3.8
SPAG1
GNPNAT1
HENMT1
ZC3H18
CXorf65
KCNK3
CASZ1
PRSS23
YPEL3
CTD-2192J16.20
NDUFV1
RP11-640M9.1
RP11-459F6.3
B3GALT6
IAH1
FTSJ3
CTC-548K16.5
RP11-693N9.2
POLR2F
USB1
CCDC124
PDHB
TKTL1
RP11-47I22.4
ZNF808
LSM3
SIKE1
CCL18
LARP7
DNAJC21
ZNF724P
MAP3K10
RP4-742C19.12
DOC2GP
MRPS30
CIAO1
LRRC43
RNF139
AP003774.1
PJA1
ZBTB14
NXT1
FAM105B
COL15A1
PRPF38B
MAPK11
CTD-2616J11.14
DGCR6L
AC090627.1
PURA
SLFN12
ZNF600
MAP1LC3A
RPL12P4
SCARNA17
NT5C
FAM173A
KIR3DL1
ZNF319
RP11-203J24.9
FASTK
GOLGA7
MR1
AK8
NRBP1
MAGOHB
MEAF6
ZNF669
POM121C
RP11-510J16.5
AC010894.5
FAM136A
DENND6A
RP11-570L15.2
C22orf46
RBM25
RTN4R
PYROXD1
AASDHPPT
SERINC1
MRPS14
C9orf114
VCPIP1
RP11-4F5.2
APOBEC3B
LINC00847
TERF2IP
MYNN
RP11-335O4.3
ASNSD1
POLG
TRGV9
RP11-1079K10.3
POLR2B
ENOPH1
AP001258.4
PFN2
REEP6
RP11-73O6.3
PLCH2
LPAL2
TMEM107
UBE4A
FAM64A
JOSD1
KIR2DL2
RP4-784A16.5
BFAR
ZNF701
CLDND2
DLG3
CIR1
MAN1B1
MRPL14
C8orf33
CTB-31O20.2
RP11-119F7.5
RASGEF1A
CTD-2313F11.1
MAK16
MCF2
POLR2K
NABP2
LPP-AS2
BEX2
ZNF259
MLST8
MAP9
RP11-326C3.15
RP11-563P16.1
RPUSD1
XXbac-BPG299F13.17
MRPL11
FBXL6
PWP2
FAM8A1
ADO
KRT73
AC005532.5
CLMP
MRPL43
TCEB3
BROX
RP11-300J18.2
RN7SL653P
RP11-332E4.1
HSPB11
PIGT
RP11-204N11.1
ZNF639
AC005618.1
NACC1
RP11-21L19.1
UBALD1
PTGIS
ZBTB3
OCA2
CYB561D2
RP11-686D22.10
RPS15AP1
RPL7AP6
HUS1
NR2C2AP
POMC
CIZ1
MYO5B
Y_RNA
RP11-463J10.2
RP11-769O8.3
COLGALT2
RBM7
LONRF2
MRPS22
B4GALNT3
BOD1
RP5-1180E21.4
EIF2B2
TMEM203
DLST
RP11-192P3.5
NPNT
RP11-632C17__A.1
RP11-686D22.4
DPM3
AMMECR1L
GLOD4
ZNF271
TOR1A
RP1-278E11.3
RP11-326G21.1
RP4-800J21.3
ZNF426
TRPV3
SNAI3-AS1
RP11-973H7.1
MRPL55
RP11-506H20.1
FAM150B
RP11-23J18.1
ARHGEF28
EAF1
ZSCAN25
RP11-796G6.1
AC007278.3
CDC26
BCDIN3D
ZFP90
RP11-727A23.4
TRMT6
CACTIN
MCF2L-AS1
RP11-799O21.2
FAM161B
KIAA0947
CCDC61
RP11-455F5.5
TMEM179B
EXOC3
CTB-113P19.5
AC092431.2
LGALS9C
RP11-815J21.1
KCTD21
RP11-613M10.6
CTD-2555O16.4
APEX2
AP003419.16
RP11-543C4.1
POP4
RP11-453O5.1
GMPPA
KIR2DL1
DNAJC30
FAM222A
ZNF35
GRHPR
FEM1A
ZNF157
CTD-2186M15.1
RP11-73E17.2
SLC25A21-AS1
C16orf89
LINC00629
RP11-484L8.1
SYBU
RP11-101E13.5
RP11-316P17.2
RP11-280O24.3
TRIM68
RP11-13N13.6
PCDH1
RP11-24C3.2
RP11-222K16.2
GPR98
IL21R-AS1
RP11-332O19.2
RP3-510L9.1
PRR24
JAZF1-AS1
RP11-353N4.4
RP11-277I20.2
AC017104.6
RP11-514F3.5
MYRF
KRT2
AC093609.1
FCRLB
PIGO
RP11-356K23.1
RP11-382A18.2
AP000473.6
RWDD4
RP11-305L7.6
DHRS1
LINC00221
ZBTB6
SLC52A1
RAB36
TRIM61
RPE
C10orf12
ZNF607
FOXF1
TBX1
COLEC11
COPS6
CDKN2B
PDZD11
RP11-158M2.2
HAPLN1
ADRA1D
SNORA11
FAM110C
SRSF10P1
EFCAB10
RP11-70O5.2
RP11-545P6.2
AC009410.1
RP11-534C12.1
CTA-989H11.1
PAGE4
RP11-77G23.2
LINC00469
IGF2-AS
ESM1
AP000692.10
GAS1
RNU6-661P
RHOD
