"","x"
"714","ARID3A"
"715","ARID3B"
"716","ARID4A"
"717","ARID4B"
"718","ARID5A"
"719","ARID5B"
"720","ARIH1"
"721","ARIH2"
"722","ARIH2OS"
"723","ARL1"
"724","ARL10"
"725","ARL13B"
"726","ARL14EP"
"727","ARL15"
"728","ARL16"
"729","ARL2"
"730","ARL2BP"
"731","ARL3"
"732","ARL4A"
"733","ARL4C"
"734","ARL4D"
"735","ARL5A"
"736","ARL5B"
"737","ARL5C"
"738","ARL6"
"739","ARL6IP1"
"740","ARL6IP4"
"741","ARL6IP5"
"742","ARL6IP6"
"743","ARL8A"
"744","ARL8B"
"745","ARL9"
"746","ARMC1"
"747","ARMC10"
"748","ARMC2"
"749","ARMC5"
"750","ARMC6"
"751","ARMC7"
"752","ARMC8"
"753","ARMC9"
"754","ARMCX1"
"755","ARMCX2"
"756","ARMCX3"
"757","ARMCX4"
"758","ARMCX5"
"759","ARMCX6"
"760","ARMH1"
"761","ARMH3"
"762","ARMH4"
"763","ARMT1"
"764","ARNT"
"765","ARNT2"
"766","ARNTL"
"767","ARNTL2"
"768","ARPC1A"
"769","ARPC1B"
"770","ARPC2"
"771","ARPC3"
"772","ARPC4"
"773","ARPC4-TTLL3"
"774","ARPC5"
"775","ARPC5L"
"776","ARPIN"
"777","ARPIN-AP3S2"
"778","ARPP19"
"779","ARRB1"
"780","ARRB2"
"781","ARRDC1"
"782","ARRDC2"
"783","ARRDC3"
"784","ARRDC4"
"785","ARSA"
"786","ARSB"
"787","ARSD"
"788","ARSE"
"789","ARSG"
"790","ARSJ"
"791","ARSK"
"792","ART3"
"793","ARTN"
"794","ARV1"
"795","ARVCF"
"796","AS3MT"
"797","ASAH1"
"798","ASAH2"
"799","ASAH2B"
"800","ASAP1"
"801","ASAP2"
"802","ASAP3"
"803","ASB1"
"804","ASB13"
"805","ASB14"
"806","ASB16"
"807","ASB18"
"808","ASB2"
"809","ASB3"
"810","ASB6"
"811","ASB7"
"812","ASB8"
"813","ASB9"
"814","ASCC1"
"815","ASCC2"
"816","ASCC3"
"817","ASF1A"
"818","ASF1B"
"819","ASGR1"
"820","ASH1L"
"821","ASH2L"
"822","ASIC1"
"823","ASIC3"
"824","ASL"
"825","ASMTL"
"826","ASNA1"
"827","ASNS"
"828","ASPA"
"829","ASPDH"
"830","ASPH"
"831","ASPHD1"
"832","ASPHD2"
"833","ASPM"
"834","ASPSCR1"
"835","ASRGL1"
"836","ASS1"
"837","ASTE1"
"838","ASTN2"
"839","ASXL1"
"840","ASXL2"
"841","ATAD1"
"842","ATAD2"
"843","ATAD2B"
"844","ATAD3A"
"845","ATAD3B"
"846","ATAD3C"
"847","ATAD5"
"848","ATAT1"
"849","ATE1"
"850","ATF1"
"851","ATF2"
"852","ATF3"
"853","ATF4"
"854","ATF5"
"855","ATF6"
"856","ATF6B"
"857","ATF7"
"858","ATF7IP"
"859","ATF7IP2"
"860","ATG10"
"861","ATG101"
"862","ATG12"
"863","ATG13"
"864","ATG14"
"865","ATG16L1"
"866","ATG16L2"
"867","ATG2A"
"868","ATG2B"
"869","ATG3"
"870","ATG4A"
"871","ATG4B"
"872","ATG4C"
"873","ATG4D"
"874","ATG5"
"875","ATG7"
"876","ATG9A"
"877","ATG9B"
"878","ATIC"
"879","ATL1"
