RP11-480C22.1
AC009784.3
BVES
DPYSL5
FGF20
ATP6V1C1
CMYA5
MAPT
ARNT
GRIK2
PBRM1
IL1A
RNF111
ALDH7A1
RALYL
CDK19
RP11-20I20.2
RP11-334C17.5
AC006129.4
GPR84
WDR37
AC017101.10
CC2D2B
GDPD4
LONP2
GPR85
RASSF8-AS1
AF127577.11
LAG3
ZNF536
GPATCH2
SLC2A8
RP11-597D13.8
DPYSL3
VPS13D
SLC28A1
TRIM2
ZIC1
YTHDC2
BTBD19
NIPBL
USP2
RP11-25K21.6
RP11-271K11.5
BEST1
PEBP4
KRCC1
LINC00189
LURAP1
SLC30A1
LRRC69
DCLK1
C16orf70
DACT1
RP11-310J24.3
Y_RNA
RP11-302M6.4
CDKN2B-AS1
N4BP2L2
INA
GAS6-AS1
C2CD5
TUBB2A
CHL1
KIF1A
RP11-536K7.3
GLB1L
RP11-666E17.1
AC007566.10
MORC1
ADCK2
CTB-164N12.1
CELF1
RP11-834C11.4
BVES-AS1
CCDC132
SATB2
EFTUD1
TNKS2
UNC5D
CRMP1
CSMD1
ZNF700
RP11-346C20.3
USP46
RP4-684O24.5
KIAA2026
CNTN5
UBE2F
TMEM255B
RP11-112J1.2
FRMPD1
RP11-343N15.1
AMACR
MDGA2
MYT1L
KIAA0408
NEUROD1
IKBIP
SH2D4A
RBM19
PPAPDC3
RP11-340F14.5
AC002044.4
HMGB1P21
GRIK1
EPHA5
AC006978.6
FSTL5
AC005932.1
CTC-467M3.1
RP11-758N13.3
SEPT3
ZEB2-AS1
MOV10L1
VPS37A
AC097500.2
FCGR1C
MBD4
RP11-142I20.1
C10orf131
ABHD8
RP4-562J12.2
C9orf106
DFNA5
LRRC37A6P
GRIA1
MKNK1-AS1
DLEC1
GPN3
RP11-83C7.2
FUT9
AP000439.1
OSTM1
ZNF277
RP11-666F17.1
APLP1
RP11-731C17.2
ONECUT2
PPIP5K1
RP11-343N15.5
RP13-884E18.2
RP11-505E24.2
NEUROD2
RP4-613B23.1
NSG1
TMEM169
SLC25A27
SCN2A
RP11-258C19.5
CCDC144A
MBTPS2
RNU7-181P
RP11-283G6.5
RASL10A
CNTN1
LINC00461
AC003090.1
CCDC40
RP11-392P7.6
SCN3B
CEP63
SCG3
UCHL1
ATCAY
RP11-262H14.1
IL6
MLLT11
MGAT4C
PPP1R2P4
CALCB
TRAPPC8
CSMD3
AC007682.1
AC002398.5
ZIC2
ATP8A2
AC007690.1
METTL25
DOCK4-AS1
FBXO40
PCSK1N
GRIA2
TRPM3
RCOR3
CTD-2545H1.1
GRM5
SHPK
AC002480.3
AC156455.1
PRRG1
AC002480.2
SPATA1
CNTNAP5
SLC9A9-AS1
RP11-403N16.3
LINC00958
RP11-554D14.7
UTP18
NAT8L
RNU4-80P
RANBP3L
CELF4
RP11-136F16.1
KCNB2
RAB42
SOX2
KIF5A
RP11-597D13.7
GSN-AS1
RP11-156K13.3
RP11-43F13.1
NSG2
RP11-254I22.2
ATP1A3
LMO3
TMEM168
PAK7
PROCR
LINC00264
SLC35F1
SGCB
AMZ2P1
PCSK2
DYRK4
TUBB3
RP11-168O16.1
AP001065.2
AC092594.1
GFAP
CCL3L1
STARD13-IT1
NCAN
KIAA0319L
RP11-436D23.1
FABP7
RP11-13N12.1
FRRS1L
PTGR2
TTYH1
DRAXIN
RP1-18D14.7
ARMC4P1
SKINTL
KIAA0196
CNGA1
SOX2-OT
NEUROD6
LHX1
RN7SL105P
KCTD8
CPE
RCAN2
SNX19
AP005530.2
ZNF197
RP11-177H13.2
PIK3C3
RTCB
ZFHX2
CELSR2
VIPAS39
CBLN1
DIRAS1
VSTM2L
ZIC4
RP11-202H2.1
RP11-680H20.2
CES4A
SNRPD2P1
RNF185
GDAP1L1
RP11-459E5.1
CDH18
TMEM110
RNFT1
HIST2H2BF
MAPK8IP2
KLHL1
BTBD1
SRRM3
WNT7B
CTD-2554C21.2
LUZP2
AC008703.1
GABRB3
RNU7-71P
SYT4
AMER2
LRFN5
RP11-272P10.2
HIST2H2BA
MTMR2
RP11-626G11.3
NAV2-IT1
CNIH2
RP11-403N16.5
RNU6-1138P
RP11-467L24.1
CTB-120L21.1
RP11-848G14.5
RP11-1149M10.2
snoU13
RP11-486O13.4
CBWD1
AC003003.5
RP4-749H3.2
AC016909.1
PTPRG-AS1
SRCIN1
LY6H
AL592284.1
LRIG3
ACAP2-IT1
RP11-626G11.4
PHYHIPL
KRBOX4
RP11-403I13.9
FAM57B
OTUD7A
PCP4
RGMB
DUPD1
PCDH11X
PCDH10
NMNAT2
USP32P3
WFDC2
RP11-452H21.2
TUBB8
DGCR5
RP11-34P13.13
RP11-83A24.1
RMST
RP11-1148O4.2
RP11-344B2.3
EPHA6
PRKAG1
CLIP3
RN7SL735P
CLVS2
TFAP2A
AC003080.4
CTC-510F12.2
RP11-214K3.23
ST20-MTHFS
RNU6-238P
LRRTM3
FAM57A
DLX6-AS1
SHISA6
APC2
CACNG2
RP11-468H14.2
EDNRB-AS1
FOXG1
DDX43
LINC00536
RP11-439A17.9
TDRD6
AC002451.3
STMN4
MYLK2
MMRN2
B3GAT1
HAVCR1
RP11-737O24.3
CCT6P3
RP11-742B18.1
AP001172.2
RNA5SP498
RP11-707P17.2
RNU6-814P
C1orf222
SLC12A4
RNU6-1016P
RP11-241I20.1
HMGA1P4
AC093627.12
CERS1
RP11-394B5.2
FHOD3
RP11-196H14.4
RP11-632K20.7
RNU7-29P
RP11-35J10.5
RP11-143K11.5
ID4
SEZ6
RP11-51F16.5
TMEM35
A3GALT2
VWA1
RPL21P32
CCL4L2
RP11-679C8.2
AC073072.5
TMX1
MTND5P14
SNCB
RP11-64K12.10
RP5-894A10.6
RP11-838N2.4
CACNA1B
AC009362.2
TMEM130
RN7SL612P
AKIP1
PIANP
TSKU
AC009961.3
RPA4
RNU6-892P
C11orf87
RP11-737O24.2
RP1-34H18.1
KIAA0753
SCRT2
RP5-998N21.4
ZNF594
KIAA0319
TMEM145
DZIP1
FSD2
RP5-836N10.1
AC002480.4
ANGPTL4
ARHGAP26-IT1
RP11-346C20.4
RNPS1P1
RP11-227G15.9
Y_RNA
PPM1E
KB-1958F4.1
CAMK2N1
RP11-343K8.3
B3GALT1
SCN1A
MEPE
AP000330.8
CDR2L
SPATA22
TEFM
ANO4
REEP2
CELF2-AS1
CTC-497E21.3
RP11-981G7.2
GPR37
C12orf68
PNMAL1
CTC-308K20.1
RP11-35L17.3
RP1-99E18.2
CDK5R2
FRMPD4
ZIC5
MRPL42P6
RP11-108K3.1
TRPM8
SLC9A5
WI2-1896O14.1
AC138744.2
CTD-3105H18.18
RP1-74M1.3
AC132186.1
RP11-65L3.1
PAX3
RP11-999E24.3
RP11-346E8.1
TAGLN3
BARHL1
RP11-631M6.3
RP11-454P21.1
AC010524.2
RP5-1092K5.2
LDHD
SPTBN5
CXorf28
POU3F1
RP11-85M11.2
Y_RNA
RP4-665N4.8
RP11-589N15.2
RP4-803J11.2
RP11-809C9.2
KCNJ6
TTC9B
RPL6P8
ITIH5
FAIM2
ANG
C14orf166B
PENK
RP11-312O7.2
AC140481.1
RP11-283G6.3
CBWD3
CSPG5
MEP1A
LRRC55
RP11-318C2.1
RP11-45L9.1
MIR4500HG
PLP1
ZDHHC8P1
UBE2QL1
RP11-370I10.6
AC009506.2
