SST
NR1D1
COPS7A
ARNTL
NPAS4
FLRT1
RPSAP52
RBX1
CHST14
RTN4RL2
PHF23
VCP
PRLHR
C12orf10
NPR1
CCDC151
FBXL16
DDOST
ATP5B
CCDC181
HAGH
TTC18
LRRC37A3
CLIC5
MARK2
ANKUB1
SEPT1
TMEM74
TTLL9
ZNF365
SYNGR4
PXMP2
KBTBD6
PCDHA6
OST4
UHMK1
RPL26
LPCAT4
C14orf1
RP11-551L14.1
SLC22A15
UCK1
BOK
SYNGR1
HSPE1-MOB4
PARP10
CELSR2
NDFIP1
KRT222
CIB2
ZNF416
METRN
IER5
RP1-315G1.3
DERL2
C4orf47
RAP2C
RP11-44M6.3
COX4I1
LINC00663
TBL1Y
ADRBK1
GNGT1
EVI5L
SREK1IP1
TMED1
THRA
NXT1
SLC25A4
FAM161B
GRM3
GPRASP2
GPR162
NDUFS7
HEXIM2
CXXC1
D2HGDH
NDUFAB1
RP11-423G4.7
SLC25A39
USMG5
COPZ1
TGFB1
MOB3C
C17orf58
RP11-391M1.4
HAAO
ZNF283
RP11-2B6.2
C16orf93
SH3GL1
RP11-525A16.4
HPGD
EPS8L2
PSENEN
RP4-723E3.1
SCAF1
CCDC28B
TADA1
TMEM238
PSMB6
CRBN
RP11-490M8.1
CUL4B
CCDC130
EDC4
SPTLC3
TYK2
OGDHL
ARSA
ZSCAN1
TMCC3
PTGDR2
PAIP2B
TACC1
SNX17
GPR37
RGS22
NR4A2
MRPS15
TCEAL5
LRRC37A4P
LRRC37BP1
MKKS
AC010980.2
TBL1YP1
PCDHA9
TUBGCP2
TAF10
RFC2
C16orf80
NEIL2
DUS1L
C14orf39
DUSP3
MRI1
LAMTOR1
KLHL8
NPIPA5
C1orf192
GPLD1
GABRA5
ALOX5AP
UQCRFS1
HCN1
SAMD1
TTC32
EXOSC3
ISCA1
FAM122B
PKDCC
STMN3
HERC5
ANKRD19P
CHMP7
EFHC2
TMEM17
LRRC3B
UBE2A
GULOP
RP3-406A7.7
ATP8B2
CLCN2
CTD-2349P21.5
GRPEL1
MTCP1
