MPO
AFF1
WBP2
OTUD7B
MGAT3
CASC7
TBC1D2
FAM134C
AMPD3
SCAND2P
CBX7
LBH
AC013474.4
KCTD20
OGDH
LMTK2
RP11-613C6.2
RP11-58H15.1
RP11-123O10.4
ST6GALNAC6
TBPL1
C14orf37
AC004901.1
DCP2
FBXO28
AIDA
FDFT1
NPLOC4
MST1P2
NFE2L2
ABAT
GRIN2A
SMAP2
G0S2
RP5-881L22.4
SOD3
LANCL3
WDTC1
COPZ1
SHISA7
ZFYVE21
USHBP1
AP000692.9
TXNRD2
PEG10
ACY3
ITPRIP
RP11-284N8.3
AGFG1
RP11-797H7.5
ELMO3
KIF26A
ZSWIM8
CEP76
RRP15
SEMA4B
INHA
RC3H1
TALDO1
ZNF175
AC007464.1
CA1
RAB8B
NT5DC4
MSR1
AC006116.17
EFCAB12
MTMR10
RP5-1086K13.1
RP11-403H13.1
TXNL1
CRYM
FADS3
HIST1H2AJ
IKZF5
RIT1
KANK2
KDM2A
PRC1-AS1
MSL2
RP3-508I15.14
RPL19P12
ZNF800
SLC5A4
RP11-372E1.6
CSF1R
CNPPD1
AGTR1
MST1L
ASAP3
AC016725.4
KLHL28
RP11-345J4.8
ANKRD36BP2
RP11-406D1.2
RPIA
SREK1IP1
SERINC3
RNF152
SRGAP2C
CLDN3
SOD1
MARCH4
ITGAD
MMP1
C7
FAM21C
ST7-OT4
NR1H2
AFAP1L2
RP11-115H15.2
DEFA3
RP1-170O19.22
RAP2A
EAPP
CNPY4
Y_RNA
Y_RNA
ZNF778
AK1
XPR1
LINC00426
COL6A4P2
AC051642.1
SMIM1
EHD1
RNU6-979P
ITGA1
PTPRK
AIM2
AMIGO2
RP11-196G11.2
RP11-247L20.4
GKN2
ATG3
WASH2P
TSPAN7
SNHG10
PPP2R5B
IFT74
PAPOLG
IPO13
MYLK4
IGFBP3
KDM3A
C15orf57
FZD5
SIDT2
RP1-130H16.16
RP11-930P14.1
RP4-539M6.14
ZNF653
CLPS
RP11-303E16.8
SEC14L3
ZSCAN21
RP1-179N16.6
PCDH1
PPP1R3B
TREML3P
CIDECP
ADAMTSL4
RP11-939C17.4
DNAJB6
FBXL3
EPHX1
C10orf128
GNG4
AC005235.1
H2AFJ
ERAL1
CDHR1
POLD4
MT1E
RP11-598F7.3
AC016586.1
ABI3
MAOA
UBALD1
SLU7
EPHX2
DHX8
LINC00885
SPAG6
ACE
PLBD2
CTB-107G13.1
RNU6-370P
ORMDL3
RP11-166B2.3
ZNF326
NHLRC4
UBL7
CPED1
BBS12
YBX2
CTD-3096P4.1
KPNA1
A1BG-AS1
CTD-3193K9.3
RP11-421E14.2
CCDC173
HBZP1
FEM1C
AC034220.3
CDC40
DNER
SLC38A11
ABTB1
FKBP1B
RP11-90C4.1
RP11-16E12.1
RP11-474G23.1
ZNF853
SFXN3
CRIPT
PHLDA1
C3
CAPN12
TADA2B
LINC01033
RP11-571F15.3
KLC3
AC011288.2
ALS2CR11
ASPN
SRRD
CTB-30L5.1
ZC3H6
ST13P15
ARHGEF38
RNA18S5
LINC00853
ACTN1-AS1
CDC73
RHOU
AC092594.1
IGHD
RP11-575H3.1
CSTA
RP11-989F5.3
RP11-396K3.1
UIMC1
B3GNT8
FAM83A
TNNC2
AOC3
KRTCAP3
FGFR4
RP11-134L10.1
CDC26
SLCO1B3
CCDC17
CR2
RP11-962G15.1
RP5-1042I8.7
PKHD1
ATP6AP2
CTB-131B5.2
GADD45B
VAMP7
IGDCC4
C3orf62
SPAG1
DNAJB4
OLIG1
CCL4
CRNKL1
LMBRD1
CYP4A11
CTD-2509G16.2
TCEB2
METTL20
SMPD4P1
RP11-550H2.2
NPIPB3
RP11-81F13.1
RP11-360L9.8
RP13-1032I1.7
ZFY-AS1
TMTC1
ASF1A
KDM5C
RBM18
RAD51-AS1
NTNG1
RP11-782C8.1
MT1F
NRIP3
AQP2
RP11-672A2.3
STARD10
DEFA4
C20orf26
CRTC2
GAS2
AC009299.2
RP11-43D4.2
AF131216.5
FEM1A
RP11-216N14.8
SYP
TPTE2P3
CTB-175P5.4
AMMECR1-IT1
FXYD2
RNF144A-AS1
CCM2L
HIST1H2AL
CYP19A1
LINC00309
RP11-501C14.9
KBTBD3
TDGF1
AP003041.2
