PTPRG
FAM89A
HSF4
TTC21B
SCAMP1
ATCAY
ARSG
C9orf85
GYPC
FZD3
DYRK4
LRIG3
VAT1
RAMP1
SGCB
DUPD1
ESYT1
GGA2
C5orf42
RP11-112J1.2
ESR2
C2orf43
SNX19
BBS9
CCDC92
AHI1
RIMS1
LINC00963
AC005932.1
KIF9-AS1
RNF145
CNR1
ZMYM4
CNGA1
ZZZ3
NEFL
SCAF8
TMEM87A
ZIC4
HPS4
EPB41L1
KBTBD11
MYLK2
SLC39A6
SFXN1
RP11-305L7.3
SLC6A16
VPS8
RP11-680H20.2
DIRAS1
ADRA1B
SCP2
ANO10
RP11-258C19.5
C10orf128
PAX6
FSTL5
LILRA2
AF127577.11
TMEM255A
STXBP5
RP11-557H15.3
WNT7B
TTC39C
METTL9
FAM19A2
THSD7A
AC008174.3
HOMER3
RP11-42I10.1
IQCJ-SCHIP1
KDM4C
TMEM135
C16orf70
NES
ST14
PARP15
WDFY1
RNLS
ABHD12
AC074286.1
WDPCP
FAM178A
FBXO42
MAP3K13
SLC47A1
GRAMD1B
CTD-2547L24.3
TTTY15
SLC25A24
TMBIM4
RP11-66B24.4
PP13439
VSTM2L
ANKRD28
CTD-2545H1.1
UFL1
MAPK10
SOS1
CCDC144B
GSTCD
ASXL3
RP11-83C7.2
SNHG14
EPS15L1
MKL2
ACOT11
TLK1
CELSR2
KB-1507C5.2
PROCR
SNX14
TFB1M
GDAP1L1
CD274
SYT4
PER3
ELP4
LTBP2
TRAF3IP2-AS1
RP11-417O11.5
KIAA0825
RPSAP58
IMMP1L
SLC37A2
CHKA
RP11-239H6.2
PCYOX1
DNAJC13
RP11-429D19.1
ATF2
DCAF5
EPHA7
FRRS1
TVP23C
UBE2Q2P1
RP11-142I20.1
AC002480.3
NECAB2
WDR26
SLC35F6
AC007362.1
ZBTB38
TMEM120B
CTNS
RORA
RP5-991G20.1
TSC22D1
NOVA1
L1CAM
ACBD6
SLC25A29
RPL21P32
NIPA2
PTPRG-AS1
TEX2
WDSUB1
AP4E1
TMEM220
FKTN
CNTN5
CNIH2
M6PR
FAM78A
RALA
FGF14
OSTM1
ARMC4P1
LINC00174
ZNF277
NARS2
RP11-272P10.2
DNAH14
LOXL3
KIAA1468
PPP2R5A
FOXJ3
GABBR2
SLC35B2
IFT122
TRDN
STX6
C6orf1
KIF3A
AC093818.1
CACNA1E
STXBP1
SLC38A7
GRM5
PATL1
C9orf106
COG3
CEP85L
TM7SF3
NAA16
SCN3A
TMEM192
WDR20
ATG10
SLC44A5
RP11-262A12.1
RNU4-80P
RNF165
BHLHB9
C11orf49
CDH12
TTC26
CNTNAP5
STMN3
CBFA2T2
LINC00265
NEIL2
PRRT3-AS1
COG6
FMO4
GUSBP1
ATP6V0B
AAED1
NNT
KCND3
LYPLAL1
MIPEP
PIH1D1
CCDC53
REEP4
OLA1
TFAP2A
RP11-346C20.3
KIRREL2
CELF6
LONRF3
MARCH9
OLFM2
SLC15A4
ATP9A
EPHB1
ATIC
OLFM1
ENOSF1
RPL32P3
BRCC3
OTUD7A
EML6
RP1-15D23.2
SPTAN1
GPX7
RASGRP1
CCNT2
FBXO27
ZFHX2
C16orf62
TP53BP1
IFT43
PPAPDC1B
SLX4IP
TGFBRAP1
NBAS
RAPGEF5
RP13-395E19.3
RP11-708B6.2
ANKDD1B
PLCG1
ATP1B2
PDE1C
CCDC109B
CLN3
VAC14
Y_RNA
FEM1B
CTD-2323K18.1
AC156455.1
RP11-103J8.1
AC073072.5
RP11-597D13.7
PPP2R2C
ARFGEF2
CLPTM1
MTSS1L
RCN2
FBXL4
APBB1
GBGT1
CTC-228N24.3
RP5-864K19.4
KIAA0391
ATG5
TRIM33
NTNG1
ZNF451
VEGFB
RP11-707P17.2
RENBP
RIMS3
MGMT
CNIH3
ERGIC2
ATXN7L1
ACAP2
ENTPD4
GNPDA1
RP4-684O24.5
GPRC5B
SYP
PLEKHF2
ARHGEF37
ZNF518A
SMG6
CERS5
RP11-214K3.23
FGD5
GFM1
AP000783.1
AFF2
SYBU
PODXL2
MXI1
NEK1
GS1-124K5.11
MICU2
NAGLU
RAB42
RP11-314P15.2
KATNBL1
ACAD11
TSKU
ATP6V1C1
KIAA1551
CTBS
SUPT20H
SDCCAG3
RP4-769N13.6
RP1-93H18.1
PCDH19
CXorf38
CBWD1
SDHC
RP11-106M3.3
WRB
SNRPD2P1
SHANK2
FBXL5
ARMC9
SULT1C2P1
AC006042.8
AC090286.2
KLHDC10
C14orf132
CLDN12
ESCO1
SHISA6
ATP1A2
FSD2
DPF1
SNX25
EXOC1
RP11-298J20.4
POU3F3
RP11-838N2.4
TAZ
LBH
NME7
SEZ6L2
WSB2
NPEPPS
EDEM2
CDS2
HPS1
TSPAN2
RDH11
PPP6R3
TENM3
ALG9
ZNF254
UBAP2
RP11-353M9.1
RINL
IFNLR1
RAB40C
HMGB1P3
GLB1L
CERS1
ARHGAP42
CNTNAP4
LRRC1
ERMARD
FAM57A
CORO1C
MAPKAP1
RP11-81N13.1
ZNF229
TATDN1
RP11-260M19.2
FRK
SLC4A10
COMMD1
CAST
DKFZP761J1410
LINC00969
HAAO
ETFA
RP11-162D16.2
AQP4
RPAP2
C1orf56
STX18-IT1
RNFT1
EFNB3
SRPK2
C20orf196
PPP1R37
ZIC5
AMN1
SH3YL1
C11orf80
RP11-254I22.2
ARL3
AC002044.4
ZSCAN30
TAGLN3
LINS
TOP1MT
LRRC37B
AC002480.4
PAFAH2
EGLN1
AC007401.2
PACRGL
G6PC3
TMEM86A
TPCN1
NUP210
ANKS6
TMEM251
PDCD1
C12orf23
SLC25A24P1
CYP4V2
SLC52A2
PLK5
RNU7-71P
ATXN2
ANO4
NEFM
GALNT15
ESF1
IFT80
STX18
XRRA1
AL163953.3
GPATCH2L
RNU6-892P
RP11-329E24.6
GLB1
ZNF544
ZNF709
C3orf14
C19orf10
LINC01059
CNTN2
R3HCC1L
FEZ2
RP11-65L3.1
MYSM1
GCSAML
TRPM8
ZSCAN5A
PSMG2
TMEM147
AEBP1
CCDC12
C11orf87
AC073316.1
COX6A1
CNNM2
TMEFF2
SEPT2
SLC35E3
RN7SL247P
RP11-466F5.8
TMEM33
ZMPSTE24
CCL3L1
SEP15
MAFG
ANAPC16
SFT2D1
CSNK1E
DCP1B
RP11-35L17.3
RP5-1103G7.4
PRRG1
RP11-737O24.3
RRAGB
DOPEY2
RP11-464F9.21
MPP3
TCEB1P19
LRFN5
GPC2
CCNC
BRWD3
FAM131B
KCTD16
DARS
SLCO1B7
SYT5
BCAT2
RALGDS
UNC13C
IL18BP
AC007682.1
EXOC2
UBA5
S100A13
TDRD6
PCSK5
DKK3
ZNF248
UBE2G1
RP5-886K2.3
SPCS2
USP31
TMEM59L
TMEM184C
NLGN2
IL7
RP11-108K3.1
C10orf10
C20orf24
TRH
RP11-46A10.5
ZCCHC12
DYNC1I2
C9orf129
PIANP
RHBDL2
SNX4
PLCB4
GIGYF2
NAE1
MKRN3
ACADM
CEP89
PUS10
RP11-370I10.6
MANEA
COX6A2
CPT1A
MLF1
MED27
PAAF1
FAM212A
BTK
MANEAL
DACH1
UGDH-AS1
SLC16A14
NMNAT2
TNRC6A
COPB1
AC016909.1
TDRD9
ACAD9
AC024560.3
ADCY6
CLSTN2
SH3GL3
TTC9B
RNU7-181P
ANKRD46
DHRS7
LARS2-AS1
FAM179B
UQCRC2
CA10
COCH
RP11-111A21.1
MROH7-TTC4
AC009505.2
WDR78
ALG1
ALOX15B
DDX43
INPP5A
SCARNA17
SYT7
STT3A
WBP1L
RP11-253M7.1
AFTPH
FUT11
RBBP4P1
ADAMTS6
RDH10
IGLON5
RP11-1407O15.2
RP11-523O18.1
SLC30A9
MIR210HG
ANKRD36B
PPM1E
SIRT2
SPATA1
METTL16
RP1-74M1.3
ZRANB2
SCG2
RBFOX3
AAK1
PGM1
Y_RNA
FASTKD1
RP11-58B17.2
NKAIN4
LMLN
ASIC1
ZNF717
MR1
PPP4R1
AL138930.2
EOMES
LHX9
ATP6V1G2
FAM171A2
MREG
UBXN2B
CACNA1B
ZNF585B
GRIN1
SLAIN2
ALG6
MEP1A
CECR7
GTF2H2C
TRAPPC10
PTCRA
LDHD
KIF3B
PTPDC1
MGAT3
SHD
TFAP2B
CTA-228A9.3
PAXBP1
TTC3P1
MRRF
EEF1A2
ZBTB40
CA5B
TOM1L2
SPARCL1
RPS23P6
VPS53
RP11-352D13.6
CBWD2
FAM122A
PTPRA
PCDHGA11
UTP18
LSM1
LHFPL3
EBPL
SLC6A15
KCTD3
RP11-159F24.3
MSANTD3
ZNF223
TMSB15A
TUSC1
CTB-83J4.2
RP11-138A9.1
RP11-933H2.4
RP11-758M4.1
NEU1
CXorf28
SLC38A10
ZNF138
AGBL3
RP11-385J1.2
MTND2P2
DBN1
ETV4
SKOR1
PPP2R5E
FAM199X
ZNF346
RN7SKP16
RP11-343K8.3
RP11-380L11.4
HUNK
EMC2
DNMBP
RP11-420A6.2
LIG4
LRRC3B
TRAF6
IGF2BP3
CSTF2
CNTFR
