INS
CTB-43E15.3
LINC00617
GPC3
CACNA1D
RP11-661P17.1
LINC00665
LMO1
ABCA2
MED27
IGLON5
CYS1
PIK3R2
TUBB2B
MAP4K2
ADCK4
RPL10A
MYCN
LDB1
ACTB
MTND2P28
TSPAN33
CACFD1
TMEM63C
PFKFB2
STXBP1
FAM92B
ZC3H3
SREBF1
DDR1
WSCD2
RPL29
RXRA
RP11-284N8.3
NPDC1
HCN2
SLC9A3R1
CRMP1
ALKBH7
INPP5F
ABAT
TBC1D24
NFIC
POLR2I
HSPB6
GCGR
RPS13
CDK6
RPS19
PLCH2
ODC1
PEG3
AHRR
C14orf132
SSR1
DOK4
TOM1L1
KIF21A
ADCY5
MARK4
ADAMTS5
PPP2R2C
CCS
KLHDC8B
PTPRS
MED25
KIF3A
NTM
EPHX1
MXRA7
PYCR1
XXYLT1
G6PC2
MAZ
MAPK8IP1
SERINC2
TTC3
RTN4RL1
MEST
PACSIN3
GRHL3
LINC00948
CCDC8
MYOCD
CCDC109B
TMEM53
DOK3
EPHA8
TWF2
RASAL1
BCAR1
KLF10
PVRL1
ACAP3
TCN2
SLC25A34
PKP2
GNA11
RPL11
GPC1
RPS21
RP11-909M7.3
PODN
TSPEAR
FGFR3
TRPM2
PPP6R1
ASAP1
C1orf127
EPHA5
IGSF11
SLC2A4RG
LYRM7
BRSK2
FOXJ1
KCNJ11
RPL6
GPSM1
WDR66
WNT5B
BAIAP2-AS1
KCNQ2
CCRN4L
NAT8L
BACE1
PPM1E
SYCN
RPL35
ELAVL4
CDH20
SET
CAMKV
PVRL3
RP11-234A1.1
RPS15
MAP1A
PALM2
KIF3B
IGFALS
RPL35A
SLC6A9
TUBA3FP
PALM2-AKAP2
EIF5A
EEF1B2
TTC22
CERKL
WDR34
FAM227A
YIF1A
EML1
ALPK3
RPL24
GNAZ
EFNA4
LLGL1
APCDD1L
SLC45A2
KCND1
PPP1R14C
RP11-141E13.1
REXO2
ANKRD65
TNFAIP8L1
LRP5L
ISX
G0S2
GRK6
DHRS2
ANXA5
TSPAN32
RP11-425L10.1
DNAH5
EPM2AIP1
TNS1
AL117190.3
PLP2
FAM19A1
CYP2U1
MRPL2
RP11-82L7.4
TSPAN1
HSPG2
RYBP
B3GNT8
CENPB
GPR123
ZBED3
MAP1LC3A
RPL31
DPYSL5
STK32C
MAPRE1
CKB
LARP1
PNMA3
C5orf24
RNF2
PLXNB2
STON2
PKD1
RP11-436K8.1
NYNRIN
PRR7
RP11-571O6.1
TRIM29
C10orf107
GJD2
GALNS
STK32A
SERBP1
RPS28
RP11-304L19.5
TSHZ3
EBF4
MTHFD1L
C2CD4C
ENHO
DTX1
CSNK1G2
EIF4G1
PES1
TES
MTSS1L
SPCS3
MTATP6P1
CDC42
GPI
SEC31A
CDKN2AIPNL
TRAP1
RP11-375B1.2
HS6ST1
CD276
RP11-74E22.4
ITM2A
PABPC1
BTF3
TRIM9
ATG9A
C21orf91
IGSF9
PTPN18
LINC00951
CSDE1
LIMS2
KLHL23
KHSRP
AB019441.29
RPL37
MAP2K2
KIF3C
TRAPPC1
TMEM27
MDGA1
HSPE1
TMEM5
HSPA4
PQBP1
ZNF853
BCL2L1
WDR46
NUMA1
MROH6
KIAA1919
PLCL2
MMP15
ATP5G1
RPS7
C11orf95
CHRNA5
CUTA
ATL1
STRA6
AIP
ZRANB3
TRAF4
UNC119
CERK
RUFY3
PRKCZ
LONRF2
PLAGL2
MDH2
FBRSL1
GTF3A
TECR
DDI2
TMEM160
PRKCQ
RCBTB1
SLC2A2
QTRT1
IQCE
WDR18
CAMLG
CCNB1IP1
DIXDC1
PRKAR1B
RASSF8
CLGN
P4HB
ILF3-AS1
MAMDC4
RPL14
FARSA
WFIKKN2
GPRIN3
PIP5K1C
COPG2
SNX18
RNF126
ATP5A1
KRT80
IKZF4
SLCO5A1
HINT1
PRDX2
GPR68
PSPH
RPL18A
SHISA5
CDC34
BTNL9
CUL7
KSR1
YPEL3
ARVCF
RP11-869B15.1
SOCS6
LINC00543
ARRDC4
ZFAND5
ARRDC1
LHX4
MT2A
COX11
MRPL42
TSPAN3
C1orf50
C7orf73
PODXL2
SPAST
PWWP2B
ZBTB7A
KIF6
RPL21P119
PIK3R3
KCNA3
GLP1R
ORAI3
VPS35
DYNLL2
TRERF1
CBX5
SMAD7
MAN1C1
RHOD
GTF3C4
UBE2R2
TBCB
THUMPD1
CRYBG3
HNF1A
RNF40
RNF130
HMGN1
BTBD6
C15orf59
POLRMT
C16orf58
PPFIA4
TMOD2
TMX1
SFSWAP
C21orf62
MLEC
LOXL1
YWHAB
DOK5
RP11-15K3.1
EXOSC8
AKR1C2
GPS1
ARL16
GNMT
HYDIN
IRAK1BP1
NKIRAS2
GALNT14
NUDC
PRKCSH
ZNF697
LRRC3DN
ANKRD13B
GLI2
NDUFS5
KIAA0020
RPN1
TMEM109
EPPK1
ARL4D
USP1
OLFM1
CDC42EP2
UBE2QL1
KDELC1
VHL
KCNJ4
PHAX
MAPKAPK3
DNAJB9
GIT1
BAG6
PRPS1
ZNF3
TMEM229B
SPSB3
HSF4
LRRC61
PFKL
RP11-398C13.6
SOGA1
TMCC2
SKIL
TUBA4A
SLC22A16
B3GALT6
PAGR1
DDAH2
GLIS2
TRAPPC2L
SLMO2
POMGNT2
PRR15L
PSMB5
CAMK2A
GIGYF1
CHMP2A
TLE4
DNALI1
SMARCC2
ZNF688
CCT6A
TMEM143
FEM1B
CTB-63M22.1
CCDC23
PTRH1
MANF
SPNS2
PNPLA6
TXNRD3
RPL6P27
TTYH3
MAN1B1
CORO1B
ARL6IP4
VPS33A
DZANK1
IMPDH2
ITPRIPL2
NOC2L
PTPRCAP
PRKCQ-AS1
MRPL24
TXK
DGCR6
EEF1D
CNPY3
C1orf85
POLR1D
NXF1
CDV3
ASNS
RFNG
RP11-343C2.7
CTBP1
FAM213B
ATM
SERTAD3
RP11-246K15.1
RP11-738O11.13
NONO
PRDX3
RP11-1275H24.3
RABEPK
HYAL2
MANEAL
ZFP90
METTL8
PDE4A
RP4-594I10.3
TNNT3
COL8A2
IVNS1ABP
ADCYAP1
GRK4
PTCH2
ATG2A
SF3B1
PGD
BTBD2
MYBPC2
BCAP31
EIF4A3
BAG1
OXER1
ATP5G3
UBE2E3
PEPD
SNX7
ARRB2
BAX
TOR2A
RP11-567M16.3
GCHFR
ABRACL
REC8
AKR1C3
ABHD16A
EBPL
BLVRA
TCHP
FAM195B
LINC00299
PPP1R3C
AGO3
ARL2BP
UBL4A
DBNDD1
ANKRD13D
EPRS
RPL13P12
RP11-137H2.6
HOMER2
FAM195A
DIRAS1
C3orf18
RP11-3P17.3
PTTG1IP
KHDRBS3
APRT
TBC1D14
MRPS30
TMEM99
STK25
IMP4
ADAMTS16
GDI2
ZNF579
ETNK2
DNAAF2
PLEKHG3
RPL18AP3
CDK4
NUFIP2
PTPRU
CYTIP
HAUS3
CLUH
TRIM28
FAM161A
MPP1
RP13-512J5.1
CDK5
PAK4
COL16A1
YBX1
PRKY
C19orf12
ARPC4
NDUFV1
FADS2
PSMB3
RP11-212P7.2
ZNF605
POLR1A
CHMP4B
HMGA1
EFTUD2
METTL9
LINC00568
TMEM184A
FAM211A
RAC3
VARS
YRDC
PGAM5
P2RX6
LRRC66
IPO13
HHATL
NARG2
CAD
PTP4A2
RANGAP1
GSTM2
HERC2
SPAG6
DKC1
IDH3G
MTCH1
SOCS2
SLC2A6
SYNE3
ERMN
ZNF654
VLDLR
HRH3
SNX12
SUGT1
SLC46A1
RAB12
CAPSL
MDM4
ULK3
HYOU1
C21orf54
TMEM8A
CALU
F12
RP11-526P5.2
ZNF189
NOLC1
GRIN3B
SDF2L1
MKI67IP
RAB22A
CAP1
MRPS17
PIWIL4
NPEPL1
RPS6KL1
HOMEZ
C22orf42
HSPA8
RP11-4K16.2
PDE12
CCDC26
JSRP1
B4GALNT4
SIVA1
ZFP91
PPM1G
NAA30
TUFM
SLC16A10
DDX49
ARHGEF4
CNGB3
C19orf60
MTMR6
MZT1
CCT8
GATAD2A
C6ORF165
GPS2
HNRNPA0
TRAF1
UPP1
FLYWCH2
PPP4C
RP11-611L7.1
E2F1
AP2A1
ATP6V1B1
WI2-1959D15.1
GEM
ZNF770
TSC22D4
RPL13P5
TMEM134
FAM127B
IFT81
C11orf57
SC22CB-1E7.1
ZBTB44
RPL5P4
CCDC110
CACNA1B
OAZ2
CHRNA3
RPS23P8
LOXL3
SLC34A3
SQLE
PLXNA3
ILVBL
PLEKHF1
EIF2B2
KIFC3
RPS2P46
AC019118.2
ATXN7L2
COQ7
FITM1
FANCF
SPG21
MRPS2
AASDHPPT
MOCS3
FAM175A
PAF1
UBL3
CNOT7
SALL2
CRTC2
KDELR2
MTPN
PPA1
SGK2
ZSWIM7
PPP1R8
INTS3
KLHL7
YBX1P2
EIF4EBP1
QARS
EBF1
BAG5
TMEM222
FTLP3
AC016739.2
C19orf52
NCBP2
SEPT5
WDR3
DDX11
RPL22L1
AC004257.3
RAC1
EIF3B
UXT
RP3-410B11.1
PTPMT1
FAM120A
PABPN1L
LRRC9
KIAA1586
STX6
SLK
TRAPPC4
PGLS
EMC8
KIAA0754
PRPF8
ATF2
KCNJ12
TRAPPC12
THAP11
RBCK1
VSIG10L
LIMK1
PSMC2
ZFYVE28
MTA2
ACAT1
RP9
SLC30A1
ANKRD16
SRSF8
PIK3C2B
ZNF681
TRIM69
C14orf105
B4GALT4
FSTL3
EEF1G
CAMK4
RBBP4
ZNF667-AS1
APEX1
OR2L13
TRIM61
CCDC138
FLII
PARD6A
KIAA1715
ALG2
VPS72
NPPC
RPS25
RAB15
FLJ30594
URI1
HINT3
