TRIM16
MLXIPL
GPR125
MAOB
GJB1
ELOVL2
MSANTD3
AKR1C4
C11ORF1
PKP4
STAU1
CYB5D1
SPATA17
MORN2
DPCD
AHCY
GCSH
MRPL45
PDXK
SUCLG1
ACE2
SLC22A5
SLC1A1
FMO1
SCIN
LMX1B
PPP1R1A
CIDEA
MCAT
FMO3
CYP3A7
PHGDH
RAC3
LRRTM1
FAM174B
RET
DLX3
PSORS1C2
DSC3
PPL
PERP
SPINK5
KLK13
RHOV
A2ML1
LGALSL
PVRL4
PKP1
IGSF3
FZD10
MPP7
GABRP
TUBB4B
ARHGEF37
SH3RF2
TYRP1
NAA20
RAB2A
MNAT1
ZNRF1
TRIM16L
LMO7DN
TXNL1
OLA1
BHLHE40
KLK11
RWDD4
FAM189A2
OSR2
GREB1
CYB5R2
RGAG1
MXI1
LMOD2
THBS4
FAF1
CMTM4
FOCAD
KCNK2
PENK
DRD2
VWA5B2
NCS1
REEP2
NEGR1
MAB21L2
GAL
THEGL
ATPAF1
MB
ALPK3
FILIP1
SBK3
MUM1L1
PLAT
HMGCLL1
IL1RAPL1
AGT
C6
SLIRP
MRPL21
MAST2
TCF15
NDUFS5
SLC25A3
TMEM126A
KIF13A
SLC2A4
DDX1
TRAP1
ATP5H
PSMB5
MOCS2
APOOL
NDUFB9
MLF1
PDHX
DMD
CMYA5
MYOM3
FNDC5
PGM1
MLIP
TRIM55
IGFN1
ART5
TMOD1
ST8SIA5
FITM2
VWA8
HINT3
RBFOX1
CRLS1
TNNI3
KBTBD12
DUSP27
CD59
ALG9
KIAA1715
SMIM13
THOC7
UBXN2A
NEURL1B
CCDC169
FDFT1
TMEM63B
SLC35E1
RASD2
GCAT
CA3
TNNI1
MESP2
SEC14L2
CACNA1H
MRPL37
AFG3L2
PRSS3
CASKIN1
AKR1C3
PRSS8
PRDX2
H1F0
SBDS
TP53INP2
TMBIM1
EDN2
TUFT1
FAM83F
KRT15
SOCS6
ERBB3
B3GNT5
ACOT11
NEDD4L
C1ORF226
XK
TST
DHRS11
PTP4A1
GADD45G
TMEM56
MLPH
AZGP1
TRPV6
SIX1
SIX4
UAP1
BMP5
SCGN
GCG
LRIG1
CMTM8
NR5A2
ARSE
HUNK
