LSM6
PDE6A
SLC2A5
SECTM1
ACOT7
CYP4F2
CDHR2
EXOC3L4
PPARGC1B
GPA33
MYO1A
GUCY2C
MUC13
ADH4
NPC1L1
APOB
DEPDC7
SULT1E1
CDHR5
MRPS12
TRPV1
HAPLN4
MS4A8
SLC51B
SLC23A1
NLRP6
DHDH
CAPN15
PIAS4
DMBT1
AKR1B10
UNC5CL
DOHH
PLD1
KIAA1211
CA9
TRPV3
MAP2K2
TPSD1
C2CD4B
SLC45A3
SP5
SFTPA2
ABCC5
SPATA12
LRFN4
FAM83E
HN1
HDC
LAMB3
TPSAB1
LDHAL6B
LGALS9B
LGALS9C
NINJ2
RAB44
CXCL1
CXCL6
ABCB5
BCL3
INF2
PIM3
SAA2
SIGLEC6
ARSI
DACT2
HSPA2
EIF5AL1
CNEP1R1
MSC
ATP1A4
SIRPA
TICAM2
IRGM
VASH2
BOLA2
DQX1
ETV3L
CSNK1A1L
HEATR9
SESTD1
BEND4
ABTB2
NTRK1
INSRR
AMHR2
DNM1
KLHL29
MYPOP
P2RX6
MRAP2
KLHL25
KIAA0408
GCK
GALNT13
ELAVL4
GCKR
VIPR2
PDGFRA
PDZRN3
LAMA3
SLC19A3
ADAMTS19
RSPO1
LGALS1
ARID5B
RAMP1
FREM1
PTGFR
PSD
NPAS4
NKD1
IQSEC3
LPPR1
GAL3ST1
DACH1
DLK1
NLGN4Y
IL13
VWA3B
NXF3
L1CAM
KCNA6
CADPS
GRIA3
NACAD
TUBB4A
AMH
ARHGDIG
ATP6V0C
SPTBN2
CAPN3
PRDM8
CECR6
DPYSL4
LCNL1
C9ORF172
MMP17
NHLH1
CPNE9
C1ORF61
CLIP2
ZCCHC18
DRP2
ZNF469
SSTR3
TTYH1
SERPINI2
CGREF1
FAM222A
KCNJ9
SPOCK3
THEM5
PRR7
LAGE3
BAIAP3
SLC8A3
ARID5A
NTNG2
TUBB2A
TUBB2B
C17ORF96
MTRNR2L1
C1ORF111
SLC12A1
MARCKS
NOS1AP
KLF16
DLGAP3
HAGHL
ARRB1
C21ORF128
TEX29
EEPD1
GPR162
ALDOC
SCD
MYO16
TF
SYN1
GPAT2
NTAN1
ABCB11
OR5K2
LTC4S
C22ORF15
MAFK
TKTL1
NKD2
RAB40AL
FAT3
HPR
LDLR
PCSK9
TTC39C
CLEC4G
THPO
DECR2
SELO
XYLB
PLG
SERPINF2
FAM151A
NAT8
HPD
OXER1
LRRC3
CFHR3
LRRC3DN
ADCY10
HSPB9
TMEM176A
TMEM176B
GGH
CLDN10
RDH5
WIF1
KPTN
TMPRSS5
STAC2
ALOX12
TGM3
CLCA2
TRIM29
CERS3
CSTA
C2ORF54
AQP3
TNNI2
ADAD2
KRT23
RDH16
FUT6
EGFL8
MAMLD1
SSBP3-AS1
TRDN
MKNK1
SDK1
VENTX
SPSB4
MRPL16
ADCY5
PKP2
PTGDS
TBC1D8
FAM179A
CD99
RRS1
ADAMTS8
CPTP
GADL1
EMILIN1
CALB2
TFPI2
LYPD6
SLC7A4
PDCD5
MYO18B
IDH2
LSMEM1
MYO18A
ALPK2
MYLK3
CACYBP
CAMK2A
PDE4DIP
DCUN1D2
SEC14L5
MSH4
OPTN
CECR5
SHFM1
HAMP
NOTUM
ADCK3
MTRNR2L12
MTRNR2L8
MTRNR2L9
TMEM70
SLC6A8
C16ORF13
NEURL1
FAM89B
PCBP3
KBTBD12
PSMD4
KRT10
TUBA4A
TOMM7
ZNF688
C19ORF68
WNT5B
ANKRD35
CPA4
CYP27C1
PCSK6
PPP1R3G
SLC22A3
CHST13
SLC25A52
ELOVL3
HSD17B13
FARP2
BBC3
CASQ1
TNNT1
C4ORF48
TMEM249
PLAC8L1
CDH15
RPL37
GUCD1
TRPM2
RHD
SH3BP2
POLE
ARG1
HAL
RPLP1
CCDC69
RNF122
RCN3
PLIN2
PDLIM2
MID1IP1
TMEM213
C19ORF60
SAC3D1
SCAND1
CHST12
CCDC85B
MRPL41
PLEKHF1
CLEC11A
HIST2H2AA3
HIST2H2AA4
H2AFJ
SLC1A5
SPON2
TWIST2
SPDEF
LMAN1L
MGAT2
ADAT3
TMEM92
PTGDR2
HSD17B2
DDX3Y
EIF1AY
UTY
IL31RA
SUMO4
KDM5D
RPS4Y1
TMSB4Y
USP9Y
ZFY
P2RX1
LENG9
TRHDE
HRASLS5
