ZBTB8OS
RIMKLA
PIGZ
ABHD11
DERA
UBALD2
C2CD2L
LPCAT3
ENTPD7
FBP1
PCK2
CYP4F2
SLC25A5
COX6A1
GGT1
COX6A1P2
EPT1
PLS1
SLC9A3R1
TRAF4
MACC1
CORO2A
ST14
ANPEP
ESCO2
PRKG2
LTK
SLC27A4
MYRFL
APOC2
XDH
CALCB
SSX2IP
CDHR2
SLMO2
GSKIP
C2ORF88
TRPM6
TUBAL3
CEBPG
CLRN3
MUC13
SLC25A20
SAR1B
C8G
METTL7B
FAM96A
GCLM
GSTK1
DGAT1
CASP10
AGPAT2
ANO9
SLX1A
SLX1B
MYO7B
GDA
TMEM45B
VDR
TJP3
GFER
SLC6A20
LBX2
ESRRA
NEU4
SLC35B1
RTCA
C19ORF54
DNAJC15
KCNJ13
GLRX
AGPAT3
ITGA6
TXNDC17
TRPM4
CDK8
SLC5A1
SLC52A1
CDRT1
ZP1
MYH14
SLC15A1
TMUB1
ZFPM1
MICALL2
MVD
MYL5
VPS13A
CRACR2B
PYCR1
TPSD1
FUT1
C2CD4B
CHAC1
CABP4
FOXQ1
TSTA3
LFNG
C3ORF52
CHGA
DUSP4
SYCP2
EDEM3
FMN1
LSR
OVOL2
SLC22A23
VWA2
FAM83E
DOPEY2
GIPR
HN1
HDC
LAMB3
TPSAB1
LDHAL6B
SYTL2
CA2
SLC9A2
F8A2
F8A3
PIEZO1
MMD
NDUFA7
SLC25A16
GLRX2
PSMD8
TIMM23
TIMM23B
TBC1D7
USMG5
SMIM12
IMMT
PTS
ALAS1
PSMD7
ZNF668
RNF123
ANAPC15
ETF1
C20ORF24
KDM7A
GATA1
SPINK2
PPM1A
GFOD1
MPO
NINJ2
RETN
PGLYRP1
BCL7B
TANGO2
DDA1
YPEL2
PDE4D
BOLA2B
TMIGD2
TSHR
IL3RA
TAF13
DEPDC1
E2F8
HEATR3
C12ORF5
FABP6
MRPS11
RRAGD
C7ORF73
UCHL3
SNTB1
ADK
CLIP1
RNF144B
NOP10
DLEU1
ATG4A
MTFP1
SFMBT1
HMBS
PLBD1
MYB
NPIPB15
EIF5A
CCNB2
HMGA1
IRAK2
EIF3J
RILP
CHAC2
HES4
MS4A2
PBK
CCL13
FUT3
LAMTOR2
RIPK3
TMEM102
SERINC2
C1ORF186
PLAU
MRPS15
CD36
PDLIM1
ORMDL2
SQRDL
CMA1
SPPL2A
CEACAM1
CFD
CFLAR
S100A12
FCN1
IL18RAP
NFE2
MAP2K3
PTGER4
P2RY2
FRAT2
TK1
EREG
CTSG
RAB44
IFRD2
CLUH
ITIH4
TMED9
KRT81
SUSD1
NLRP2
IL1RL1
ADRB1
ARSA
ACP2
SLC31A1
ZDHHC12
HIP1R
ELL2
TES
PI4K2B
GCH1
ABCD3
SDS
KYNU
SHB
HHEX
ASGR1
FURIN
ORM1
SPCS3
BSPRY
CCNC
CARS
AP1S3
CBWD3
MARVELD2
CRELD2
SLC39A11
MROH1
SDF2L1
PTPRJ
TSSC1
LHPP
ZBED2
ATP6V0B
PNP
SPNS3
MSRA
PKLR
BCL2L1
FOLR3
SLCO4C1
MAP3K11
CHKB-CPT1B
STAB1
RENBP
DPEP2
SIGLEC12
UNC93B1
KLRC1
UBASH3B
ARRDC1
TFR2
ALOX5
KIF18B
BIRC5
CDT1
PTPRE
FFAR2
PROK2
SLC20A1
APOBR
OR2W3
TRIM58
NCAPD3
HIST1H2BG
CENPN
PLCB2
LST1
NFAM1
CARD9
NRROS
FGR
SPI1
MLKL
CD300LB
TNFRSF10C
SIGLEC5
AP5B1
C19ORF35
MMP25
HK3
EMR1
CD300C
EMR3
PSMA1
LILRA3
RNASE2
CCL2
F2RL2
ODF3L1
SRD5A3
MMP1
CCL20
GPR160
PLEKHG6
SPATA2L
CRB3
DIAPH3
NEK2
EMP1
SPHK1
TGFA
ELOVL7
SLC28A3
IER3
LCN2
CXCL8
DUSP5
MCTP1
LIF
FCGR3B
CCR8
CXCL5
KRT17
CXCL1
CXCL6
SCO2
BCL3
INF2
NT5C1B
CYB561D2
ZNF513
TMEM2
RBBP8
RPS6KA1
DENND1C
CDCP1
CTDP1
SIPA1L1
EFHD2
CD44
ARHGAP8
RASAL1
ZNRF2
RAB19
ASCL2
ARHGEF38
EPPK1
RBBP8NL
TMEM175
KLHL17
BRICD5
RNF165
AURKC
PADI4
ATAD3A
DEFA3
TECPR1
FSTL4
PIM3
C14ORF80
NFKBIB
CXXC5
C2CD4D
PCP2
SLC25A10
SLC14A2
CHP1
MAGIX
MIR1199
AGRN
C1ORF116
DEFB1
PROM1
TNFRSF12A
SGMS2
MGST2
GSTZ1
TSACC
ANGPTL4
SAA1
GPR4
SAA2
AIMP2
ABLIM2
TEAD4
KIAA1161
JPH1
MAGI1
MMP15
NPAS2
PRRG2
GPR39
STEAP1B
LRRC8E
C2ORF70
GPR64
HID1
FBXL8
FRMPD1
SIX2
PCDH1
SOX9
THRSP
SCN4B
PTPN3
TMEM8A
SLC16A3
TPST2
CLN8
SIGLEC6
ARSI
DACT2
RTN2
HSPA2
APLNR
P2RY6
MET
GLDC
EIF5AL1
YKT6
MARS
CSF2RB
GPR19
TNFAIP6
ADCYAP1
BOLA2
TSPAN12
CDYL2
COLEC10
F5
TARS
CDK2AP2
FAM50A
NNAT
TIMM17A
SRA1
PPA1
CPEB4
S1PR3
C9ORF47
FDX1
NTRK1
SSTR2
MTFR1
AMDHD1
RAB3IP
HOOK1
TDRKH
TSPAN15
NDRG4
ADORA1
WSCD1
PPP2R5B
DNM1
LPPR4
CHRNA3
SNCB
NKAIN1
PPP1R36
SYT17
SLC1A2
EDNRB
ETV5
NTM
GPR17
C5ORF22
TLCD1
ETV4
SHANK2
TLE6
FLT1
ISM1
NIPA1
PLEKHH1
NCMAP
PVRL2
TPMT
P4HA2
KCNS3
SLC25A35
SMAD5
MOXD1
TNC
C1QTNF5
SCARF1
BTNL9
S1PR1
MRPL14
CYP4Z1
RAMP3
FBLN2
HAS2
NGFR
SPRY4
FGF18
FAM110D
ZBTB42
DMTN
PDGFA
PPP1R14C
COL23A1
KIAA1456
EXOC6
HBEGF
DCBLD1
IL15RA
CPA3
PCDHA13
MEF2BNB
RNF175
RPS6KL1
INA
GABRD
ECE2
ZACN
LRRC8B
CALY
RPH3A
CABP7
SYT3
CDK5
CACNA1E
C9ORF172
KCNJ9
WSB2
KCND3
DIRAS2
LRRC55
NDFIP2
PTER
C1QL3
ANO8
C19ORF26
PPFIA3
DDAH1
RGS11
ELFN1
MCF2L
SOX8
RAB15
TBC1D24
SV2B
METRN
CBX8
RTN1
VSTM2L
NRG3
HES6
NACC1
TUBB3
KIAA1211L
PAQR4
SLC35F3
AGAP2
WNT10B
SORT1
GPR56
AGTPBP1
MGAT3
PDE4A
DDN
ABCA2
SLIT1
B3GAT1
MBP
RASSF4
CNTN2
GOLGA7B
CIT
SEMA6B
GPRIN1
SLC4A10
SYT5
BAIAP3
SLC8A3
ARID5A
NTNG2
TUBB2A
TUBB2B
C17ORF96
MTRNR2L1
MYT1L
RASL10A
C1ORF111
NPAS1
MYLK4
ABCB11
TPO
LINGO4
DRC1
CCDC42B
C9ORF24
CTSD
VIPR1
NEDD9
OLR1
KCNK17
TSPAN13
EDN1
CCL18
MYO1H
CD93
STEAP4
THBD
MFSD7
KLRF1
IFI30
SLC11A1
MAFK
TKTL1
GAA
LAMA5
SOX7
TMEM74B
C20ORF202
SLC6A4
ACVRL1
TPPP3
TTLL10
TMEM180
MICALCL
NKD2
MAPK15
DLX4
SEPHS2
SLC16A13
CP
GCLC
MGST1
HINT2
CYP4F3
SLC27A2
GCGR
HAGH
GLYATL1
SERPINC1
ASPDH
RAPH1
SLC17A5
MT1F
KCNJ1
ALS2CR12
KCNE1
PDF
TMEM19
CA8
KL
SPSB2
AQP1
SPNS2
VAV3
MT1H
THEM6
MFSD3
FAM84B
SLC25A33
GPD1
FMO3
TRPM8
GALNTL6
COPE
LTF
KPTN
KCNN4
CTPS1
OAZ3
IRX2
PLVAP
SLC12A8
TNN
TFCP2L1
TMEM61
EPHA2
GPR110
NRTN
ROPN1
ROPN1B
FGFBP1
CYSRT1
GSDMA
PADI1
NCCRP1
MCUR1
ZNF385A
COL17A1
PRODH
FGFR3
PLCH2
NOTCH1
SFN
PLA2G4F
TMEM184A
TNS4
MICALL1
GRHL1
ATG9B
PVRL4
PKP1
BTBD11
TMPRSS13
DSP
GJB3
LAD1
PKP3
IGSF3
SULT2B1
LAMB4
RGS14
IL18
NIPAL1
GRHL3
TNNI2
KRT1
GSDMC
ZNF750
KRT14
RNF141
GPSM2
ULK3
ITGB4
HR
JAG2
SLC10A6
GIPC1
SH3GLB1
NLRX1
SEMA3F
PLEKHN1
DIO2
ARRDC4
SSFA2
METRNL
CCND1
BTBD16
CXADR
LRRC16B
TMPRSS11E
PPP2R5A
PRR5-ARHGAP8
GAL
NAP1L6
CBFA2T3
SBK3
YIPF4
RGS3
ATP5EP2
CMC1
GTF3A
RASGRP3
COX5A
BOLA3
NDUFB3
ESRRB
MRPS36
DDO
CMC2
PCCB
COX17
MRPL12
UQCC2
NDUFS6
NDUFS8
NTMT1
CPT1B
APOBEC2
MYO18B
MYOM2
SLCO5A1
DAND5
IDH2
PERM1
LSMEM1
PGK1
PSMB6
ZNF672
LDHA
TPI1
ATP5B
NDUFAB1
TIMM8B
HCCS
ACO2
ATP5J2
PROB1
NDUFV2
KLHL18
CEP85
NDUFAF5
TRAK1
ASB11
ACTA1
MRPL20
CHCHD10
DUSP3
PRADC1
VDAC1
PTGES2
C15ORF52
CAMK2B
NDUFB2
NDUFS1
PLA2G4C
PPP1R1C
CCDC107
GFM1
NDUFA6
BAG1
PDHB
OGDH
ICMT
A4GALT
AURKAIP1
CRYM
NAA10
PGP
USP38
TPM3
KPNA3
DYSF
PTGES3L-AARSD1
ST3GAL6
ADRM1
FBXW5
RABL6
SLC29A2
C15ORF27
RAPGEF1
ALG9
CEBPA
SLC25A44
CCK
MRPL47
POMP
TOMM40L
CNTF
EGLN3
EFCAB5
SCUBE2
TNNI1
MYBPC1
TNNT1
NEB
MYBPH
SPP1
SLC38A11
PPAP2A
SLC14A1
UPK3A
VEGFA
MESP2
DBI
ACSL1
SLC35G5
KRTAP5-2
HIST2H2AA3
LMAN1L
ZFY
DUSP8
CMTM8
IMPG1
DCLK3
C19ORF73
